flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,overlapping_props_count,overlapping_positive_props_count,positive_prop_overlap_fraction,positive_disk_overlap_fraction,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_m,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,cambridge_clean_immersion_at_clmax,cambridge_flap_immersion_at_clmax,cambridge_clean_margin_m_at_clmax,cambridge_flap_margin_m_at_clmax,alpha_at_clmax_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,overdrop_clean_severity_at_clmax,overdrop_flap_severity_at_clmax,score
0.65,0.34,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,6.00344289856281,4.364586261798625,-0.16008793453134595,1.9269635090906871,1.9492445811012,2.3733712141951404,2.4627383603065116,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9993901507751678,0.03967442128922444,0.02590591068973877,13.266666666666666,20.08147072659812,0.23411869750020475,0.0,0.0,4.497586261798625
0.65,0.31,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.986171336377341,4.370878173804083,-0.16250431355154793,1.9269635090906871,1.9492445811012,2.3208008045211823,2.4065447385024914,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9995689236110649,0.03967442128922444,0.027120779272046328,13.266666666666666,20.203026937344926,0.22617523475819645,0.0,0.0,4.503878173804083
0.65,0.28,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.9666380639855205,4.37802690572236,-0.16523711728387003,1.9269635090906871,1.9492445811012,2.2620836663909456,2.34342963881109,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9996030617370619,0.038748438169344146,0.027409664734473593,13.55,20.323559624155727,0.254393679784914,0.0,0.0,4.51102690572236
0.65,0.25,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.944583730783785,4.386140600497316,-0.16832263019121163,1.9269635090906871,1.9492445811012,2.284239408636325,2.3007635666100628,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9997194388045135,0.038748438169344146,0.02862453331678115,13.55,20.42782952584094,0.24528720549393768,0.0,0.0,4.519140600497316
0.65,0.22,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.919109787815275,4.395568736022934,-0.17188656382326695,1.9269635090906871,1.9492445811012,2.295337499270296,2.290729402098211,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9998017024181638,0.038748438169344146,0.029839401899088708,13.55,20.528928192655346,0.2355671943159301,0.0,0.0,4.528568736022934
0.6,0.34,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.981112698280353,4.372726159187883,-0.16321204264038736,1.9269635090906871,1.9492445811012,2.3733712141951404,2.4627383603065116,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9993901507751678,0.03967442128922444,0.02590591068973877,13.266666666666666,20.073117861297135,0.23422234874496173,0.0,0.0,5.296726159187884
0.6,0.31,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.966469656578582,4.378088691585575,-0.16526067833298674,1.9269635090906871,1.9492445811012,2.3208008045211823,2.4065447385024914,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9995689236110649,0.03967442128922444,0.027120779272046328,13.266666666666666,20.191686733550227,0.22741098473183552,0.0,0.0,5.302088691585574
0.6,0.28,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.949882056120508,4.384187252889507,-0.16758136764365628,1.9269635090906871,1.9492445811012,2.2620836663909456,2.34342963881109,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9996030617370619,0.038748438169344146,0.027409664734473593,13.55,20.307854745243084,0.25789918246487087,0.0,0.0,5.308187252889507
0.6,0.25,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.931110859541656,4.391119464338222,-0.1702075531102718,1.9269635090906871,1.9492445811012,2.284239408636325,2.3007635666100628,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9997194388045135,0.038748438169344146,0.02862453331678115,13.55,20.408569679917868,0.25025608751992845,0.0,0.0,5.315119464338222
0.6,0.22,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.909353630040052,4.399195712795845,-0.17325149970530673,1.9269635090906871,1.9492445811012,2.295337499270296,2.290729402098211,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9998017024181638,0.038748438169344146,0.029839401899088708,13.55,20.50148152564632,0.24217838105636158,0.0,0.0,5.323195712795846
0.55,0.34,40.0,0.55,0.385,0.55,0.20006000000000002,0.19110000000000008,6,3,0.6,0.509162491052255,14.622,5.978739389757152,4.373593967424753,-0.1635440805222157,1.9269635090906871,1.9492445811012,2.3733712141951404,2.4627383603065116,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999880593364818,0.9993901507751678,0.03967442128922444,0.02590591068973877,13.266666666666666,20.08591984640187,0.2369678863736313,0.0,0.0,5.4519440032157345
