airfoil_name,rank,n_props,prop_diameter_in,prop_pitch_in,prop_family,blade_count_metadata,speed_mps,flap_deflection_deg,is_feasible,rpm,veff_mps,induced_velocity_mps,re_inf,re_blown,cl_required,clmax,equivalent_vstall_mps,lift_margin,alpha_at_clmax_deg,alpha_required_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,cd_at_required_alpha,cm_at_required_alpha,drag_required_n,thrust_available_n,thrust_minus_drag_n,power_electric_total_w,power_shaft_total_w,torque_per_prop_nm,tip_mach,flap_span_fraction,flap_chord_fraction,aileron_span_fraction,aileron_chord_fraction,prop_drop_fraction_of_chord,prop_drop_m
DAE51,6,10,5.5,2.2,balanced,3,5.0,0.0,1,7961.5478515625,12.95645660552223,3.9782283027611154,118000.0,307000.0,4.574530612244898,4.574601862590737,4.999961061844606,1.5575444100912605e-05,12.983333333333334,12.963969043409344,16.565955486865004,0.8245421508288664,0.16753005569240179,-0.17396950201372494,1.7957127844529317,5.943307265277075,4.147594480824143,89.10841881901774,56.95806154969277,0.0068317044978535935,0.1704092812114374,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.0,20.0,0,9446.6552734375,14.990615217790454,4.995307608895227,118000.0,355000.0,4.574530612244898,5.285923395064007,4.651390922273691,0.15551164548224583,13.266666666666666,2.9842849246202525,18.94281086300743,0.4051500772557395,0.8744724251898737,-0.3568734055818751,9.373251307503958,9.370726275528048,-0.0025250319759102524,153.42903171487606,103.26890283471076,0.010439095665977529,0.20198214375531076,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.0,40.0,0,14000.0,21.418389036180283,8.209194518090142,118000.0,507000.0,4.574530612244898,5.87022547863223,4.413832843024416,0.2832410527364435,12.983333333333334,-1.7582243858776765,20.849053119043074,0.1655963614618301,7.619024764376012,-0.9341142155797247,81.66642169315537,25.307536441393953,-56.35888525176142,558.8454787767071,395.1687447192291,0.026954168176064837,0.29891381833185465,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.5,0.0,0,6943.7255859375,11.890180500106332,3.195090250053166,130000.0,282000.0,3.780603811772642,3.7803409250084394,5.500191233025793,-6.953565549083773e-05,12.983333333333334,,15.982152707055523,0.8633732850437612,,,,3.833672749996975,,57.43105229850311,34.15035765492224,0.004696497430841251,0.14894465234879012,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.5,20.0,0,8318.7255859375,13.773517122055253,4.1367585610276265,130000.0,326000.0,3.780603811772642,4.685699115405264,4.940331309127912,0.23940495981467103,13.55,1.1807788318702725,17.96886849164257,0.5847115404195495,0.4958127582802853,-0.26102322958498997,6.430536533408338,6.4264203122823025,-0.004116221126035491,100.4185250241348,65.10133801737705,0.007473163748695195,0.17812488226680562,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.5,40.0,0,14000.0,21.78352944277843,8.141764721389215,130000.0,516000.0,3.780603811772642,5.855786698077155,4.419271149611175,0.5489025006647035,12.983333333333334,-3.495215572444828,20.444083956740602,0.18707033927699612,7.333844226637936,-0.8747337657507736,95.11766779317321,24.893494950099097,-70.22417284307411,554.4259933933605,391.9867152432196,0.02673712429599154,0.2989884530436395,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,0.0,0,6299.1943359375,11.29284109705371,2.646420548526855,142000.0,268000.0,3.1767573696145126,3.1763187934765558,6.000414216293967,-0.0001380578013768785,13.266666666666666,,15.724718374821354,0.8297883892295261,,,,2.630065097789732,,42.02931687997145,23.06110815357944,0.0034959607468018233,0.13546813609683092,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,20.0,0,7668.8232421875,13.192606924395575,3.5963034621977874,142000.0,313000.0,3.1767573696145126,4.129894604057019,5.262278018881401,0.3000346339192299,13.55,-0.33700421812219217,17.559644224716344,0.6051607856749337,0.31471191977082097,-0.22472137787853408,4.857578481662621,4.856925480671773,-0.0006530009908480849,76.0849914252634,47.58119382618964,0.00592485857855674,0.16447498767794025,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,40.0,0,14000.0,22.141851461978245,8.070925730989122,142000.0,524000.0,3.1767573696145126,5.829216810455749,4.42933133818678,0.8349581451236556,12.983333333333334,-5.04571870127155,20.054052248872463,0.21610820860046687,7.000834322193203,-0.7984016000159854,108.05787776305208,24.462198154216537,-83.59567960883554,549.7599507610774,388.6271645479757,0.026507971824684735,0.2990701744524259,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.5,0.0,1,5821.1669921875,10.869698533939893,2.1848492669699464,154000.0,257000.0,2.7068228474821883,2.712542065499729,6.49314397120436,0.002112889664301676,13.266666666666666,12.781054029024434,15.599679881702768,0.7460999427573078,0.09861822369978297,-0.10159411466590676,1.7864383041266623,1.7926344514135066,0.006196147286844367,32.61829304992352,16.285170995944934,0.0026714905790332804,0.12557787903958118,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
