aileron_span_fraction,aileron_chord_fraction,aileron_start_y_m,aileron_area_m2,aileron_area_ratio,cruise_trim_alpha_deg,cl_delta_per_deg,cl_p_hat,roll_rate_at_nominal_degps,roll_rate_at_max_degps,score,selected_flap_span_fraction,selected_flap_chord_fraction,selected_flap_deflection_deg
0.16,0.16,0.84,0.01792,0.025599999999999998,6.0,0.00046959488165889443,-0.440588372819673,8.549505398640438,12.21357914091491,0.07922623650339891,0.65,0.34,40.0
0.16,0.19,0.84,0.021279999999999997,0.030399999999999996,6.0,0.0005963041098376009,-0.440588372819673,10.856390061745232,15.509128659636044,0.07825902484563692,0.65,0.34,40.0
0.16,0.22,0.84,0.02464,0.0352,6.0,0.0007352218183955694,-0.440588372819673,13.385543904068879,19.122205577241257,0.0767361402398278,0.65,0.34,40.0
0.16,0.25,0.84,0.027999999999999997,0.04,6.0,0.0008863480073328003,-0.440588372819673,16.13696692561138,23.052809893730547,0.07465758268597156,0.65,0.34,40.0
0.16,0.28,0.84,0.03136,0.0448,6.0,0.0010496826766492938,-0.440588372819673,19.11065912637275,27.300941609103923,0.07202335218406813,0.65,0.34,40.0
0.2,0.16,0.8,0.0224,0.032,6.0,0.0005742328715937566,-0.44248861390104155,10.40966175240415,14.870945360577354,0.08097584561898963,0.65,0.34,40.0
0.2,0.19,0.8,0.0266,0.038,6.0,0.0007291762212688051,-0.44248861390104155,13.218466229976434,18.88352318568062,0.0799538344250589,0.65,0.34,40.0
0.2,0.22,0.8,0.030799999999999998,0.044,6.0,0.0008990484192337126,-0.44248861390104155,16.297900044073938,23.28271434867705,0.07825524988981515,0.65,0.34,40.0
0.2,0.25,0.8,0.034999999999999996,0.049999999999999996,6.0,0.0010838494654884783,-0.44248861390104155,19.64796319469664,28.068518849566633,0.0758800920132584,0.65,0.34,40.0
0.2,0.28,0.8,0.0392,0.056,6.0,0.0012835793600331031,-0.44248861390104155,23.268655681844567,33.240936688349386,0.07282836079538858,0.65,0.34,40.0
0.24,0.16,0.76,0.026879999999999998,0.0384,6.0,0.0006737665693366744,-0.4440785956828479,12.170272029638253,17.386102899483216,0.08297431992590436,0.65,0.34,40.0
0.24,0.19,0.76,0.03192,0.0456,6.0,0.0008555667662887316,-0.4440785956828479,15.454136134274103,22.077337334677292,0.08196465966431474,0.65,0.34,40.0
0.24,0.22,0.76,0.03696,0.0528,6.0,0.0010548834785675562,-0.4440785956828479,19.054401743882163,27.22057391983167,0.0801639956402946,0.65,0.34,40.0
0.24,0.25,0.76,0.041999999999999996,0.06,6.0,0.0012717167061731477,-0.4440785956828479,22.97106885846243,32.81581265494633,0.07757232785384392,0.65,0.34,40.0
0.24,0.28,0.76,0.04704,0.0672,6.0,0.001506066449105508,-0.4440785956828479,27.20413747801493,38.863053540021326,0.07418965630496267,0.65,0.34,40.0
0.28,0.16,0.72,0.03136,0.0448,6.0,0.0007681959748876478,-0.4454375221760962,13.833621779091951,19.76231682727422,0.08521594555227013,0.65,0.34,40.0
0.28,0.19,0.72,0.03724,0.053200000000000004,6.0,0.0009754757448973796,-0.4454375221760962,17.566302025419944,25.09471717917135,0.08428424493645015,0.65,0.34,40.0
0.28,0.22,0.72,0.04312,0.0616,6.0,0.0012027269963971001,-0.4454375221760962,21.658627375773698,30.94089625110528,0.08245343156056575,0.65,0.34,40.0
0.28,0.25,0.72,0.049,0.07,6.0,0.001449949729386809,-0.4454375221760962,26.110597830153203,37.30085404307601,0.079723505424617,0.65,0.34,40.0
0.28,0.28,0.72,0.054880000000000005,0.07840000000000001,6.0,0.0017171439438665075,-0.4454375221760962,30.922213388558493,44.17459055508356,0.07840000000000001,0.65,0.34,40.0
