alpha_deg,cl_clean_baseline,cl_flap_only,cl_blow_only,cl_all_high_lift,cd_clean_baseline,cd_flap_only,cd_blow_only,cd_all_high_lift,cm_clean_baseline,cm_flap_only,cm_blow_only,cm_all_high_lift,cambridge_clean_immersion_factor,cambridge_flap_immersion_factor,cambridge_clean_margin_m,cambridge_flap_margin_m
-6.0,-0.20782751512513015,1.1580931002125867,0.45071837440970447,3.7954345130288267,0.10231249434486275,2.0540942136828573,0.43794734279159064,4.262581472272162,-0.0323141084465485,-0.21726885841706653,-0.8794772777657228,-0.778803061957924,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-5.716666666666667,-0.1908056504972146,1.1710172278046214,0.9535224615645065,3.9986263197302194,0.0988136081855563,2.0720556789857865,0.3444805154271331,4.366653354995439,-0.03626902114310818,-0.22049708774902196,-1.0673145555962043,-0.8586512223717426,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-5.433333333333334,-0.16985476481243933,1.184331844044575,1.4947460917648394,4.216474458235079,0.0951307893453358,2.0898185566494862,0.25006405790141195,4.4723229445043104,-0.04097381660550214,-0.22375205178977597,-1.2823408141072004,-0.9485447049367557,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-5.15,-0.1441901600682746,1.198436217229535,2.096125340875568,4.457668524907822,0.09131865441807747,2.1072590730945557,0.17837708439197886,4.589614958947191,-0.04651048349223166,-0.227206691645287,-1.4252578646725127,-1.0110374537900957,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-4.866666666666667,-0.11033996928039431,1.214408664986269,2.573607165480108,4.648452548619566,0.08741541334944697,2.124361631269952,0.14600395844656716,4.718842276033522,-0.0532131969470553,-0.2310176206176036,-1.471954770176203,-1.0369745844087936,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-4.583333333333334,-0.05729735188889966,1.2352931881334326,2.941384999036313,4.793583009454579,0.0831563603460981,2.141142392211375,0.13046259614324346,4.849672077191068,-0.06301951628632467,-0.23572253287579673,-1.4816333795799432,-1.0486584123572131,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-4.3,0.030444355581946535,1.265299836933408,3.2556383143724554,4.914153898474727,0.07452672547887776,2.1565715630859676,0.11715974578419522,4.976614765032773,-0.08702956564141144,-0.2442921938818692,-1.4842694738594422,-1.0565437995011373,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-4.016666666666667,0.1483367023162548,1.3032376683165463,3.531735939130717,5.0167377377661335,0.05109647248696844,2.167733852997358,0.09964642824725639,5.096662119923076,-0.1357202025956566,-0.25952165217551565,-1.4907376057641,-1.0639041480049631,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-3.7333333333333334,0.29018442898785063,1.3474616739582177,3.7761139294473836,5.104479966539675,0.03448664634164402,2.18117550000805,0.08704158894058936,5.210170788484947,-0.17423091987883166,-0.27204974180931546,-1.488115206623949,-1.0686400679597132,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-3.45,0.41228574541822455,1.3862658305111673,3.9783515230995046,5.1771406972084195,0.028342763139031838,2.1980944211986597,0.08040338811975567,5.315692714256015,-0.19943586450256776,-0.2810251279647564,-1.4768958424764256,-1.0711732488676189,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-3.166666666666667,0.5089383620931286,1.4181300339997063,4.144551452865113,5.2376779356799394,0.024895041173496512,2.2162771726692974,0.07568598557792272,5.410818024917612,-0.2155330427328353,-0.2875626214578373,-1.4606338860368704,-1.0724813257029657,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-2.8833333333333333,0.586257287432385,1.4447024261662746,4.28382027336332,5.289190261071791,0.022660845163700222,2.235336510455387,0.07164453165922383,5.493990579676184,-0.22488487006696598,-0.2922874133474113,-1.441598742740267,-1.0731981781146485,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-2.6,0.6511294903661263,1.4678388173252066,4.403310437884521,5.333924832160159,0.021010942327256407,2.2551080843975324,0.06763778658889177,5.564175516126813,-0.23079905321319336,-0.2960801761587203,-1.4216854775648788,-1.0737481295015336,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-2.316666666666667,0.708250076595711,1.4888082163393037,4.51205535756926,5.375066878310696,0.019751961640360634,2.2755314749555087,0.06422075787403012,5.621888187547748,-0.23520670165037913,-0.2994540660832927,-1.3995924194338758,-1.073483108317982,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-2.033333333333333,0.7606628014323987,1.5084376398043104,4.61744735741482,5.415286946400133,0.018951309519202306,2.2966029727985093,0.06279736252856634,5.669060134671331,-0.23871834525482144,-0.30256930955553296,-1.3728126502621838,-1.0714279247345602,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-1.75,0.8112700331120166,1.5275167643686527,4.711546914168136,5.451164154278576,0.018837794111908168,2.3183505099587487,0.0628476897221473,5.706176689749226,-0.2415033715903451,-0.3054686466799407,-1.345013904748369,-1.0689517448748918,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-1.4666666666666668,0.8596544803277675,1.545945678167124,4.790099787010922,5.481038378462923,0.019371878489285194,2.3407105313375296,0.06305237763866817,5.734954086565514,-0.24374488194794983,-0.308199037297785,-1.319038089806226,-1.067109761702612,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-1.1833333333333336,0.9019684261564856,1.5627050798455775,4.85779734987007,5.5071054612484485,0.019962116400027506,2.36344771524302,0.06304386045373345,5.7599780181534985,-0.24521567856812637,-0.3106978180484173,-1.2940042446133617,-1.0655995936058589,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-0.9000000000000004,0.9380352325698432,1.5777601448063148,4.918987491847269,5.531096265301749,0.020233444338335405,2.38638539331895,0.06284860070195745,5.786256347393689,-0.2458576064630179,-0.3129479157749253,-1.2689885196917037,-1.0640917175083255,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-0.6166666666666671,0.971063419500692,1.5919838753996234,4.976225832423651,5.553732654301696,0.020282574899101256,2.4094838465535253,0.06256923139965256,5.817893826562042,-0.24600396744818656,-0.3150374091520144,-1.2439276318763317,-1.0625353485804838,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-0.3333333333333339,1.003502205626773,1.60604601866313,5.030624873450127,5.575237243744507,0.020291130759375116,2.432728209995964,0.06227814394311671,5.857609757888788,-0.2459402726848204,-0.3170417263702309,-1.219070137258653,-1.060983454254595,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
-0.04999999999999982,1.0362178625707592,1.6201923218353391,5.082457077731294,5.59564689865433,0.02035662334840211,2.4560803786881396,0.06200052517391712,5.906613497931368,-0.2458365808368302,-0.31900548258817596,-1.1946732811418173,-1.059499024551385,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433
0.2333333333333334,1.0693081289848994,1.6344629641914152,5.131731707210721,5.614968128944425,0.02050962603404582,2.4794855523531907,0.06173762329949191,5.964943554011665,-0.24578373767467143,-0.32095218392977953,-1.1708956621500084,-1.0581343253457394,0.999999999950703,0.9999999974807369,0.0830660584445594,0.06929754784507373
0.5166666666666666,1.1026512564519022,1.6488398414745888,5.178448374490587,5.63322612317928,0.02074855053651031,2.502883562285912,0.061485372376394204,6.032107243560642,-0.24580985110952516,-0.3228886382043871,-1.147779151127856,-1.0569359183870364,0.9999999999352951,0.9999999966933326,0.08211414814041126,0.06834563754092558
0.7999999999999998,1.1360717381330403,1.6632910689108686,5.222641464704297,5.650465000193394,0.02106072756531635,2.5262157608536944,0.06124412318043138,6.107653481118572,-0.24590357116048936,-0.32481119217562215,-1.1252886168882188,-1.0559511376703763,0.9999999999150725,0.9999999956598753,0.08116228028471453,0.06739376968522885
1.083333333333333,1.1693722531608899,1.6777795940086864,5.2643661344978545,5.666738228225478,0.02143287453234296,2.5494284543981443,0.06102164472173832,6.191413375442096,-0.24603379215486182,-0.32671100938509107,-1.103363148204347,-1.0552230316032847,0.9999999998885315,0.9999999943035309,0.0802104781544074,0.06644196755492172
1.3666666666666663,1.2023373872838483,1.6922642130662928,5.303680657775593,5.682101642421089,0.02185462169165779,2.5724740402357056,0.06083048174348959,6.283388996436671,-0.24615869056140247,-0.32857648709658926,-1.08194959774105,-1.0547759580854876,0.9999999998536999,0.9999999925235015,0.07925876502482082,0.06549025442533514
1.6499999999999995,1.234731406179789,1.706698957522707,5.340634479425962,5.696610068819879,0.02231853451700304,2.5953109255925395,0.06068173326158975,6.383442307226012,-0.24622913944340974,-0.33039416306231956,-1.0610141769755979,-1.0546010247869018,0.9999999998079903,0.9999999901875644,0.07830716416910928,0.06453865356962361
1.9333333333333336,1.2663019819720402,1.7210340353873232,5.3752650096450845,5.710316880247696,0.02281886022300694,2.617902934330631,0.06057860002047936,6.490963734181684,-0.24619174395334817,-0.33214951787770997,-1.0405398776132224,-1.0546481556359564,0.9999999997480091,0.999999987122292,0.07735569885768177,0.0635871882581961
2.216666666666667,1.2967968870808655,1.735220204218717,5.407604129640802,5.723275714964705,0.02335002980993966,2.640218544789529,0.06051375040145292,6.604642756214972,-0.2459936501877803,-0.33382825002770916,-1.020519129576519,-1.0548267423195496,0.9999999996693056,0.9999999831002369,0.07640439235763268,0.06263588175814701
2.5,1.3259877843223287,1.7492149989383954,5.43768972083574,5.735542806990344,0.023905142065716947,2.66223005773777,0.060472642988784096,6.722396040091122,-0.24558932174903544,-0.3354180759922346,-1.0009480619337499,-1.0550138375344218,0.9999999995660434,0.9999999778231392,0.07545326793217282,0.06168475733268715
2.783333333333333,1.3536977706724007,1.762989916885381,5.4655783658884385,5.747178710801119,0.024473431629965743,2.6839124251145043,0.0604395437284114,6.841462539239866,-0.24495144215043854,-0.33691163439049904,-0.9818256653591685,-1.0550679309794413,0.99999999943057,0.9999999708999294,0.07450234884006054,0.060733838240574864
3.0666666666666664,1.379865224264285,1.7765472863434038,5.4913711808912264,5.7582514622430825,0.025034685846004878,2.7052411571415154,0.06039947893962033,6.95864554601177,-0.24409254589193227,-0.338312264842277,-0.9631601417415144,-1.054846427217266,0.9999999992528532,0.9999999618179143,0.07355165833503302,0.059783147735547354
3.3499999999999996,1.40465932179838,1.7899509393193966,5.515257866313331,5.76884213951852,0.025557332235374784,2.726191309695112,0.06033693090119676,7.070657710309599,-0.24308291356857178,-0.3396387840934185,-0.9449759725845327,-1.0542234789400373,0.9999999990197423,0.9999999499050432,0.07260121966523755,0.05883270906575189
