rank,scenario,scenario_label,n_props,prop_diameter_in,prop_pitch_in,prop_pitch_ratio,prop_family,blade_count_metadata,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,recommended_flap_span_fraction,recommended_flap_chord_fraction,recommended_flap_deflection_deg,recommended_aileron_span_fraction,recommended_aileron_chord_fraction,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,alpha_at_peak_total_cl_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,alpha_required_for_4ms_cl_deg,cd_at_required_alpha,cm_at_peak_total_cl,cambridge_immersion_at_clmax,cambridge_margin_m_at_clmax,overdrop_severity_at_clmax,overdrop_peak_shift_deg_at_clmax
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,5.435105090858047,4.587111539662167,-0.2396012721309273,9.583333333333332,12.465081596826233,3.00938157256211,,,-0.3136616535897887,0.9427102355815472,0.009802229429121574,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,5.640081550572592,4.502985843828596,-0.21092402732986315,7.033333333333333,9.449753233988933,2.0189641934437046,,,-0.7736762983635571,0.7839288882272666,0.004510487582201961,0.0,0.0
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.04,0.10021474588403721,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,5.539807119512903,4.543556692848303,-0.22495292806700506,12.133333333333333,16.0253621591508,1.4594275182366614,,,-0.23092982480863194,0.9878336099040328,0.015388929614496144,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.04,0.10021474588403721,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,5.789806256495301,4.444380749523998,-0.18997678270239537,11.0,13.702808592605763,2.141448793531317,,,-0.701075570020748,0.8218289061746105,0.005350757790529445,0.0,0.0
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.08,0.20042949176807442,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,5.545368421692313,4.541277815398795,-0.22417487372733247,12.133333333333333,18.750648079853956,0.29267967922648896,,,-0.23118448837853,0.9997744711765408,0.029388929614496143,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.08,0.20042949176807442,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,5.827587767567264,4.429950382190543,-0.18469095796196577,12.7,17.455640595140473,0.7561232598137497,,,-0.686083965630421,0.9807676428722237,0.013761095062593112,0.0,0.0
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.12,0.3006442376521117,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,5.545468984189369,4.541236639052065,-0.22416080452470366,12.133333333333333,20.071067504723864,0.27566377886258575,,,-0.2311890986940522,0.9999958683807778,0.04338892961449614,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.12,0.3006442376521117,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,5.828449667564935,4.429622823782357,-0.1845703737872676,12.7,20.14022117088551,0.19960293607291657,,,-0.6862154756824476,0.9996409685404949,0.02776109506259311,0.0,0.0
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.16,0.40085898353614885,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,5.475110191446292,4.57032244386737,-0.23400435595597746,10.433333333333334,12.173386694384645,3.670047987881615,,,-0.40385888109504764,0.9999999847260876,0.06298991832913112,0.38244861567117977,1.1473458470135394
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.16,0.40085898353614885,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,5.781593425297427,4.4475362806092225,-0.19112579938020924,10.433333333333334,13.216994164974993,1.4294566785549492,,,-0.7619826964627802,0.9999992194446098,0.04922140772964545,0.0,0.0
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.2,0.5010737294201861,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,5.4292162698466395,4.589598579834412,-0.24042514801388948,8.733333333333333,10.151018476175086,4.452768170456184,,,-0.46727568086619475,0.999999999944028,0.08262159366813585,0.6524594213535275,1.9573782640605826
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.2,0.5010737294201861,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,5.735422663581536,4.465401967271664,-0.1975853227724178,8.733333333333333,10.704157101033427,3.7811759079386613,,,-0.8448799010667081,0.9999999971396145,0.06885308306865018,0.5432934707353421,1.6298804122060262
1,clean_blowing,Clean blown wing,10,5.5,2.2,0.4,balanced,3,0.24,0.6012884753042234,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,5.403354872684091,4.600568778117077,-0.24404328844992174,7.883333333333333,9.253558617541302,4.544767123194063,,,-0.4863141720423546,0.9999999999995428,0.0994473905547145,0.7822133625894849,2.3466400877684546
1,slotted_flap_blowing,Slotted flap + blowing,10,5.5,2.2,0.4,balanced,3,0.24,0.6012884753042234,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,5.708900156166835,4.475762668708866,-0.20129595588086668,7.883333333333333,9.690015150031003,4.5228974945323674,,,-0.8618052913440457,0.9999999999766327,0.08567887995522883,0.7828995259358318,2.3486985778074954
