airfoil_name,rank,n_props,prop_diameter_in,prop_pitch_in,prop_family,blade_count_metadata,speed_mps,flap_deflection_deg,is_feasible,rpm,veff_mps,induced_velocity_mps,re_inf,re_blown,cl_required,clmax,equivalent_vstall_mps,lift_margin,alpha_at_clmax_deg,alpha_required_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,cd_at_required_alpha,cm_at_required_alpha,drag_required_n,thrust_available_n,thrust_minus_drag_n,power_electric_total_w,power_shaft_total_w,torque_per_prop_nm,tip_mach,flap_span_fraction,flap_chord_fraction,aileron_span_fraction,aileron_chord_fraction,prop_drop_fraction_of_chord,prop_drop_m
DAE51,1,6,9.0,3.6,cruise,3,5.0,0.0,0,4905.3955078125,13.140731168620048,4.070365584310024,118000.0,311000.0,4.574530612244898,4.57377609857391,5.000412395873878,-0.00016493794335259437,12.983333333333334,,16.621428167155564,0.802289331831747,,,,9.996005892137406,,142.92081635518196,95.702987775731,0.03105071456299997,0.171800241747651,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,5.0,20.0,1,5649.2919921875,14.740060901731555,4.8700304508657775,118000.0,349000.0,4.574530612244898,5.1779765179853126,4.699625321824333,0.13191427862022342,13.266666666666666,4.173786822069657,19.01076259624057,0.3936491834319007,1.333622422147317,-0.41186890200152787,14.294765337391553,14.309452643551214,0.014687306159661517,225.3814671975359,155.07465638222584,0.04368848015935449,0.19767821286537948,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,5.0,40.0,1,13158.0810546875,28.903156796675862,11.951578398337931,118000.0,685000.0,4.574530612244898,5.782276188063335,4.447273693548467,0.2640151915445923,12.7,-2.8744644980965255,,0.1395668581083518,8.039100957665644,-1.134673000046619,86.16911338997862,86.1807357631684,0.011622373189780433,2879.637767208265,2066.1391923899505,0.2499120230511203,0.45940110132463174,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,5.5,0.0,0,4191.0400390625,12.00615001144364,3.2530750057218203,130000.0,284000.0,3.780603811772642,3.7804973243785,5.500077460251032,-2.8166768972326395e-05,12.983333333333334,,15.993347714884003,0.8546733748919082,,,,6.384807706089493,,85.79061190643104,54.56924057263034,0.02072269483697818,0.14712864989420524,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,5.5,20.0,0,4862.4267578125,13.435222855463898,3.967611427731949,130000.0,318000.0,3.780603811772642,4.539966677830041,5.018997054422015,0.2008575624065061,13.266666666666666,2.489933682904116,18.006545300529904,0.5002670972229089,0.7334277558773348,-0.2648728031646226,9.512328797555321,9.497688750337785,-0.014640047217536534,137.16708690459734,91.56030257131009,0.029969139837016944,0.17043720314271124,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,5.5,40.0,0,14000.0,30.90769518605382,12.70384759302691,130000.0,732000.0,3.780603811772642,5.783653276007808,4.446744214057867,0.5298226325640771,12.983333333333334,-4.078079017360136,,0.15350259984873382,7.704337717024519,-1.1173955876636854,99.92285258427144,97.37113179701751,-2.5517207872539274,3463.3456980116057,2486.408902568356,0.2826601909938919,0.48881279084332496,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,6.0,0.0,0,3723.7548828125,11.38195506831443,2.6909775341572146,142000.0,270000.0,3.1767573696145126,3.1767322575946375,6.000023714907217,-7.904922206258824e-06,13.266666666666666,,15.72950383030016,0.8248540180335158,,,,4.368977542087551,,58.71003958431593,35.07122850070747,0.014989599347573412,0.13111777990442536,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,6.0,20.0,1,4298.4619140625,12.605529129521747,3.3027645647608734,142000.0,299000.0,3.1767573696145126,3.8946533565152452,5.4188717024373725,0.22598388966288807,13.266666666666666,1.03387029369233,17.536721787314587,0.5114568647731672,0.42426312384169274,-0.19530937513034283,6.548501316496527,6.581348691074703,0.03284737457817677,91.27871310515658,58.52067343571274,0.021667877107134064,0.1510174142883359,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,6.0,40.0,0,14000.0,31.336494794263185,12.668247397131593,142000.0,742000.0,3.1767573696145126,5.784750154176182,4.446322608305261,0.820960646698095,12.983333333333334,-5.157611001776007,,0.1551750240886136,6.770294078287745,-0.9596900766369356,104.49948909837134,96.82616708092462,-7.673322017446722,3454.3315728083026,2479.918732421978,0.2819223748079608,0.48886278103944053,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,1,6,9.0,3.6,cruise,3,6.5,0.0,1,3347.7783203125,10.923171989141249,2.2115859945706244,154000.0,259000.0,2.7068228474821883,2.7068307679197163,6.499990490192035,2.9261011800230108e-06,13.266666666666666,13.26493779995809,15.601799839883027,0.7418137158106037,0.10861575466528203,-0.09800562152119244,1.967540453338251,2.9509872304797367,0.9834467771414857,42.00728295903984,23.045243730508684,0.010955816375934948,0.11835244917844522,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
