rank,scenario,scenario_label,n_props,prop_diameter_in,prop_pitch_in,prop_pitch_ratio,prop_family,blade_count_metadata,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,recommended_flap_span_fraction,recommended_flap_chord_fraction,recommended_flap_deflection_deg,recommended_aileron_span_fraction,recommended_aileron_chord_fraction,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,alpha_at_peak_total_cl_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,alpha_required_for_4ms_cl_deg,cd_at_required_alpha,cm_at_peak_total_cl,cambridge_immersion_at_clmax,cambridge_margin_m_at_clmax,overdrop_severity_at_clmax,overdrop_peak_shift_deg_at_clmax
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,4.718941189037596,4.92289973990943,0.03156839226436636,12.983333333333334,16.825397673089448,0.7610078385184265,9.591559313515207,0.08472369100859463,-0.18062332843784598,0.9999954502066482,0.04305148467692621,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.0,0.0,0.0,0.65,0.34,40.0,0.28,0.28,5.319423925691822,4.636721084146894,0.162834917194133,12.983333333333334,18.26506393589251,0.47385668754672494,3.302703316361853,7.817494208328305,-0.6687880173975078,0.9997675409571387,0.029282974077440543,0.0,0.0
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.04,0.06124234470691163,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,4.718948316013668,4.922896022407188,0.03156995023318876,12.983333333333334,16.82655933148783,0.7601439852258678,9.591554478845362,0.08472360686634438,-0.18062361627719084,0.9999999166672557,0.05705148467692621,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.04,0.06124234470691163,0.013999999999999999,0.65,0.34,40.0,0.28,0.28,5.319548817960427,4.636666653401552,0.16286221885176544,12.983333333333334,18.391833455346244,0.4562600327291788,3.3027031758459513,7.817494238151763,-0.668808106085143,0.9999957413922942,0.04328297407744054,0.0,0.0
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.08,0.12248468941382326,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,4.718948446548881,4.922895954318789,0.031569978768403395,12.983333333333334,16.82658063356692,0.7601281597929477,9.591554390295752,0.08472360532523317,-0.18062362154915637,0.9999999984737074,0.0710514846769262,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.08,0.12248468941382326,0.027999999999999997,0.65,0.34,40.0,0.28,0.28,5.319551105195982,4.636665656592822,0.16286271884526182,12.983333333333334,18.39436431180707,0.4559392762791301,3.3027031732723073,7.817494238697999,-0.6688084739820999,0.999999922000553,0.05728297407744053,0.0,0.0
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.12,0.18372703412073488,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,4.718948448939717,4.9228959530717065,0.031569979291044215,12.983333333333334,16.826581023736694,0.7601278699388896,9.591554388673925,0.08472360529700702,-0.18062362164571585,0.999999999972045,0.0850514846769262,0.0,0.0
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.12,0.18372703412073488,0.041999999999999996,0.65,0.34,40.0,0.28,0.28,5.319551147088079,4.636665638335675,0.162862728002944,12.983333333333334,18.39441080721844,0.4559334019695873,3.3027031732251753,7.817494238708004,-0.668808480720354,0.9999999985713901,0.07128297407744054,0.0,0.0
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.16,0.24496937882764652,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,4.599504398106095,4.986407351809247,0.005459311124588195,11.283333333333331,12.470095926638313,3.162179055760786,10.16233825836673,0.10677625052046466,-0.3003662980817984,0.9999999999998961,0.10463527930735482,0.29741479947783617,0.8922443984335084
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.16,0.24496937882764652,0.055999999999999994,0.65,0.34,40.0,0.28,0.28,5.258508492380729,4.6635000270200635,0.1495187021603901,11.566666666666666,13.975316765457062,1.1447515331621183,3.301805273682776,7.817410963494028,-0.7092573937249007,0.9999999999930713,0.08993370067677074,0.0,0.0
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.2,0.30621172353455817,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,4.499353159865909,5.041598214471292,-0.016433916121963876,9.583333333333332,10.340435432451317,3.6812459102446464,,,-0.36094552379298744,0.9999999999999996,0.12425222942912156,0.5620279801833996,1.6860839405501988
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.2,0.30621172353455817,0.06999999999999999,0.65,0.34,40.0,0.28,0.28,5.155966629037486,4.709645564785463,0.12710288029032468,9.583333333333332,10.98984757604029,3.5479945877773957,3.300614802389348,7.820164939038021,-0.7905785002984609,0.9999999999999805,0.1104837188296359,0.44846805982877896,1.345404179486337
1,clean_blowing,Clean blown wing,6,9.0,3.6,0.4,cruise,3,0.24,0.36745406824146976,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,4.45378607673909,5.067323104305087,-0.02639495627870636,8.45,9.178480202225607,3.6789783634494717,,,-0.38255854954324553,1.0,0.14201284190869215,0.7105672829149265,2.13170184874478
1,slotted_flap_blowing,Slotted flap + blowing,6,9.0,3.6,0.4,cruise,3,0.24,0.36745406824146976,0.08399999999999999,0.65,0.34,40.0,0.28,0.28,5.098951402478406,4.735903418598435,0.11463925693922827,8.45,9.605999545259643,4.035031038802275,3.2993513286441774,7.823920008799993,-0.802115721143927,0.9999999999999999,0.12824433130920648,0.7113958911201633,2.13418767336049
