scenario,scenario_label,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,prop_drop_m,alpha_deg,cl_total,cd_total,cm_total
clean_blowing,Clean blown wing,0.0,0.0,0.0,-6.0,-0.8265378565143903,0.2143583710848467,-0.4023420104158177
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.716666666666667,-0.7078834310335221,0.1908669572745721,-0.4252576961840138
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.433333333333334,-0.6007748526008342,0.16874992634925343,-0.4436533936614234
clean_blowing,Clean blown wing,0.0,0.0,0.0,-5.15,-0.4893833341641336,0.1457938914817676,-0.4618669183893699
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.866666666666667,-0.33271246833253076,0.12065286093761841,-0.47585675813773404
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.583333333333334,-0.1696977229475215,0.09836341419800008,-0.48172088615459546
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.3,-0.02679255459495135,0.08572750496061768,-0.4835968718664543
clean_blowing,Clean blown wing,0.0,0.0,0.0,-4.016666666666667,0.11558708946996607,0.0780356632575496,-0.48318812788020143
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.7333333333333334,0.25813034767747617,0.07159214880705385,-0.48166946431186486
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.45,0.39848300119406266,0.06650330081025271,-0.47981726576069905
clean_blowing,Clean blown wing,0.0,0.0,0.0,-3.166666666666667,0.5381868864434755,0.06273180091800777,-0.47786719880563805
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.8833333333333333,0.6779908279841832,0.05963258550376205,-0.47601577775040155
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.6,0.8183392016928082,0.05694093293962908,-0.474575465350503
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.316666666666667,0.959189661911118,0.054582313013077845,-0.4740265481123778
clean_blowing,Clean blown wing,0.0,0.0,0.0,-2.033333333333333,1.0991150308645599,0.05242837451784875,-0.47485513627086745
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.75,1.234533868121685,0.05002196203257245,-0.47640186803794926
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.4666666666666668,1.3642484531800494,0.04640052181396956,-0.47463740209496075
clean_blowing,Clean blown wing,0.0,0.0,0.0,-1.1833333333333336,1.4950109139448766,0.04179155586111448,-0.46655630683861965
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.9000000000000004,1.6222491321863646,0.03916615051581842,-0.45869765150428277
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.6166666666666671,1.748776744640375,0.037902602683882625,-0.45384021587281115
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.3333333333333339,1.8782970559088337,0.03731320177589788,-0.4509191415956991
clean_blowing,Clean blown wing,0.0,0.0,0.0,-0.04999999999999982,2.0066921746496993,0.03706824504306583,-0.4491387970479175
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.2333333333333334,2.130866122343951,0.03695624839717371,-0.44747822513704283
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.5166666666666666,2.2514460661604243,0.03692306530251392,-0.4454569518479302
clean_blowing,Clean blown wing,0.0,0.0,0.0,0.7999999999999998,2.3700458613980175,0.036948382621579956,-0.44312985405412864
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.083333333333333,2.4874801315039523,0.037012182531057425,-0.44063019751416077
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.3666666666666663,2.6037419423446244,0.03710002416052625,-0.4380070840882603
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.6499999999999995,2.718414179921307,0.03720397538424898,-0.43523794452553943
clean_blowing,Clean blown wing,0.0,0.0,0.0,1.9333333333333336,2.830971391285375,0.03731982489724158,-0.4322704263222722
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.216666666666667,2.940933003209451,0.037445046185513815,-0.4290510682519514
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.5,3.047922376881764,0.03757836194563184,-0.425538351410351
clean_blowing,Clean blown wing,0.0,0.0,0.0,2.783333333333333,3.1516761801589634,0.03772044663990495,-0.4217061161573052
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.0666666666666664,3.2520311976865037,0.03787511872025759,-0.4175432837663441
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.3499999999999996,3.3489028945622143,0.03805022479544676,-0.4130538715298512
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.633333333333333,3.4422623870700892,0.03825728669211811,-0.40825874905993875
clean_blowing,Clean blown wing,0.0,0.0,0.0,3.916666666666666,3.53211770086361,0.03850940912342249,-0.4031976820488558
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.199999999999999,3.618506893175869,0.03881814005174734,-0.3979282193482925
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.4833333333333325,3.7015033540621376,0.039190979953124816,-0.3925192855759738
clean_blowing,Clean blown wing,0.0,0.0,0.0,4.766666666666666,3.781220731984663,0.039630960846643706,-0.38704120023726407
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.049999999999999,3.857801822173216,0.040138773375072476,-0.38155644463748795
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.333333333333332,3.9313850423582197,0.0407179043426124,-0.3761126060177396
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.616666666666667,4.002059101482116,0.041384961478284736,-0.3707278885024996
clean_blowing,Clean blown wing,0.0,0.0,0.0,5.9,4.069819818780483,0.0421881232721705,-0.36535563413330596
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.183333333333334,4.134539934535036,0.043225828385601864,-0.35983827382713224
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.466666666666667,4.195982780300206,0.04463003726193664,-0.35391623910488373
clean_blowing,Clean blown wing,0.0,0.0,0.0,6.75,4.25384291456053,0.046471965155787005,-0.3473897696384164
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.033333333333333,4.307608012225122,0.04867107759916683,-0.3403166751267117
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.316666666666666,4.3562810489070465,0.05113418641550939,-0.3328585176689083
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.6,4.398677367006636,0.053992422398221586,-0.3249461871210422
clean_blowing,Clean blown wing,0.0,0.0,0.0,7.883333333333333,4.434342633920863,0.05745279148913838,-0.3164853937397117
clean_blowing,Clean blown wing,0.0,0.0,0.0,8.166666666666666,4.4642283030097225,0.06145657786213444,-0.30765379940542037
