airfoil_name,rank,n_props,prop_diameter_in,prop_pitch_in,prop_family,blade_count_metadata,speed_mps,flap_deflection_deg,is_feasible,rpm,veff_mps,induced_velocity_mps,re_inf,re_blown,cl_required,clmax,equivalent_vstall_mps,lift_margin,alpha_at_clmax_deg,alpha_required_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,cd_at_required_alpha,cm_at_required_alpha,drag_required_n,thrust_available_n,thrust_minus_drag_n,power_electric_total_w,power_shaft_total_w,torque_per_prop_nm,tip_mach,flap_span_fraction,flap_chord_fraction,aileron_span_fraction,aileron_chord_fraction,prop_drop_fraction_of_chord,prop_drop_m
DAE51,6,10,5.5,2.2,balanced,3,5.0,0.0,1,7961.5478515625,12.95645660552223,3.9782283027611154,118000.0,307000.0,4.574530612244898,4.574601862590737,4.999961061844606,1.5575444100912605e-05,12.983333333333334,12.963969043409344,16.565955486865004,0.8245421508288664,0.16753005569240179,-0.17396950201372494,1.7957127844529317,5.943307265277075,4.147594480824143,89.10841881901774,56.95806154969277,0.0068317044978535935,0.1704092812114374,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.0,20.0,0,9446.6552734375,14.990615217790454,4.995307608895227,118000.0,355000.0,4.574530612244898,5.285923395064007,4.651390922273691,0.15551164548224583,13.266666666666666,2.9842849246202525,18.94281086300743,0.4051500772557395,0.8744724251898737,-0.3568734055818751,9.373251307503958,9.370726275528048,-0.0025250319759102524,153.42903171487606,103.26890283471076,0.010439095665977529,0.20198214375531076,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,5.0,40.0,0,14000.0,21.418389036180283,8.209194518090142,118000.0,507000.0,4.574530612244898,5.87022547863223,4.413832843024416,0.2832410527364435,12.983333333333334,-1.7582243858776765,20.849053119043074,0.1655963614618301,7.619024764376012,-0.9341142155797247,81.66642169315537,25.307536441393953,-56.35888525176142,558.8454787767071,395.1687447192291,0.026954168176064837,0.29891381833185465,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,0.0,0,6299.1943359375,11.29284109705371,2.646420548526855,142000.0,268000.0,3.1767573696145126,3.1763187934765558,6.000414216293967,-0.0001380578013768785,13.266666666666666,,15.724718374821354,0.8297883892295261,,,,2.630065097789732,,42.02931687997145,23.06110815357944,0.0034959607468018233,0.13546813609683092,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,20.0,0,7668.8232421875,13.192606924395575,3.5963034621977874,142000.0,313000.0,3.1767573696145126,4.129894604057019,5.262278018881401,0.3000346339192299,13.55,-0.33700421812219217,17.559644224716344,0.6051607856749337,0.31471191977082097,-0.22472137787853408,4.857578481662621,4.856925480671773,-0.0006530009908480849,76.0849914252634,47.58119382618964,0.00592485857855674,0.16447498767794025,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,6.0,40.0,0,14000.0,22.141851461978245,8.070925730989122,142000.0,524000.0,3.1767573696145126,5.829216810455749,4.42933133818678,0.8349581451236556,12.983333333333334,-5.04571870127155,20.054052248872463,0.21610820860046687,7.000834322193203,-0.7984016000159854,108.05787776305208,24.462198154216537,-83.59567960883554,549.7599507610774,388.6271645479757,0.026507971824684735,0.2990701744524259,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,7.0,0.0,1,5590.2099609375,10.737872520701583,1.8689362603507913,166000.0,254000.0,2.3339441899208664,2.414054140523291,6.882873226413145,0.0343238501367682,13.266666666666666,11.067116372369883,15.583087012899263,0.6794757490466703,0.06230601146017623,-0.10637751298638454,1.3089714182639773,1.3117097847469708,0.002738366482993415,28.16519552376569,13.078940777111296,0.0022341680433781014,0.12094869422373365,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,7.0,20.0,0,14000.0,22.838331802584264,7.919165901292132,166000.0,541000.0,2.3339441899208664,5.486192632215051,4.5657039464662645,1.3506100342532457,13.266666666666666,25.55121733498746,19.74991917773476,0.28456445247310835,1.274792291945699,-0.6598625992347186,26.781792563414204,23.550908245707287,-3.2308843177069164,539.7205672718266,381.3988084357151,0.026014930993672684,0.29925485363446414,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,7.0,40.0,0,14000.0,22.838331802584264,7.919165901292132,166000.0,541000.0,2.3339441899208664,5.7319522132409295,4.466753567060597,1.4559080024254025,13.266666666666666,24.566946953832815,19.338796528650963,0.3351535875785663,1.2236420630488363,-0.644520761050271,25.70719019207724,23.550908245707287,-2.156281946369951,539.7205672718266,381.3988084357151,0.026014930993672684,0.29925485363446414,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
DAE51,6,10,5.5,2.2,balanced,3,8.0,0.0,1,5375.3662109375,10.631514802859442,1.315757401429721,190000.0,252000.0,1.786926020408163,1.9948831133328948,7.5715456724450325,0.1163770019293977,13.266666666666666,7.886445258465188,15.625880633101549,0.5747644466378576,0.02365536886474982,-0.12618557041432021,0.6491033216487351,0.6501303211084454,0.0010269994597102983,23.238696495843318,9.531861477007189,0.00169332783449743,0.116981510449383,0.65,0.34,0.28,0.28,0.12,0.041999999999999996
