flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,overlapping_props_count,overlapping_positive_props_count,positive_prop_overlap_fraction,positive_disk_overlap_fraction,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_m,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,cambridge_clean_immersion_at_clmax,cambridge_flap_immersion_at_clmax,cambridge_clean_margin_m_at_clmax,cambridge_flap_margin_m_at_clmax,alpha_at_clmax_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,overdrop_clean_severity_at_clmax,overdrop_flap_severity_at_clmax,score
0.65,0.34,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.897060720141492,4.4037785690215,-0.1749713400565811,1.5730487420323713,1.9944803972887928,2.327289122236177,2.2454303374009665,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9992055947875296,0.038748438169344146,0.02497992756985848,13.55,20.26183347772729,0.19933379789895778,0.0,0.0,4.5367785690215
0.65,0.31,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.878972733775306,4.4105479754190196,-0.17750194095438077,1.5730487420323713,1.9944803972887928,2.2714969863663996,2.2000481372376726,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999844429693743,0.9994384384604593,0.038748438169344146,0.026194796152166036,13.55,20.414153316954987,0.1892148802152187,0.0,0.0,4.54354797541902
0.65,0.28,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.859286830148549,4.41795099377682,-0.18025609856945946,1.5730487420323713,1.9944803972887928,2.2106970765253493,2.178042761199343,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999797377520157,0.9994830675550226,0.03782355796123929,0.026484784526368738,13.833333333333332,20.551572162933237,0.21624224694063976,0.0,0.0,4.55095099377682
0.65,0.25,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.838139606896088,4.42594523087269,-0.18321470220091118,1.5730487420323713,1.9944803972887928,2.1434223424600374,2.2151170383021888,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999797377520157,0.9996346124755491,0.03782355796123929,0.027699653108676295,13.833333333333332,20.67637336374963,0.20734494742266918,0.0,0.0,4.55894523087269
0.65,0.22,40.0,0.65,0.45499999999999996,0.65,0.234696,0.1564640000000001,8,4,0.8,0.6029348604151754,14.622,5.814568978376995,4.434906927060563,-0.18651235250230824,1.5730487420323713,1.9944803972887928,2.068797984316453,2.2788178892719317,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.9999736179662713,0.9996637643469668,0.03689980328189314,0.027990767011637704,14.116666666666667,20.788345490513425,0.23655540584571888,0.0,0.0,4.567906927060563
0.6,0.34,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.842744543914406,4.424200741078038,-0.18257044819071078,1.5730487420323713,1.9944803972887928,2.327289122236177,2.2454303374009665,1.1260000000000001,0.041999999999999996,0.12,0.3006442376521117,0.9999797377520157,0.9989655709419812,0.03782355796123929,0.024055047361753623,13.833333333333332,20.355885442943,0.1986864683891021,0.0,0.0,5.348200741078038
0.6,0.31,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.827625641360406,4.429935987022826,-0.1846856592264965,1.5730487420323713,1.9944803972887928,2.2714969863663996,2.2000481372376726,1.11925,0.041999999999999996,0.12,0.3006442376521117,0.9999736179662713,0.9990480504122435,0.03689980328189314,0.024346161264715033,14.116666666666667,20.50402208627587,0.23078873409512557,0.0,0.0,5.353935987022826
0.6,0.28,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.811539004794886,4.4360628945048,-0.18693626115150586,1.5730487420323713,1.9944803972887928,2.2106970765253493,2.178042761199343,1.1125,0.041999999999999996,0.12,0.3006442376521117,0.9999017798260142,0.997498976683473,0.03229870245339067,0.020959929018520118,15.533333333333331,20.648008870905638,0.5437693066733651,0.0,0.0,5.3600628945048
0.6,0.25,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.795386711688526,4.442240457408138,-0.18919604875909113,1.5730487420323713,1.9944803972887928,2.1434223424600374,2.2151170383021888,1.10575,0.041999999999999996,0.12,0.3006442376521117,0.9999017798260142,0.9982311521410652,0.03229870245339067,0.022174797600827675,15.533333333333331,20.764676858448066,0.5099483133489642,0.0,0.0,5.3662404574081375
0.6,0.22,40.0,0.6,0.42,0.6,0.234696,0.1564640000000001,6,3,0.6,0.5807444523979958,14.622,5.77833269823568,4.448790981345206,-0.1915819916098409,1.5730487420323713,1.9944803972887928,2.068797984316453,2.2788178892719317,1.0990000000000002,0.041999999999999996,0.12,0.3006442376521117,0.999872381236418,0.9983754468096449,0.031382174323294154,0.022473138053038716,15.816666666666666,20.871841574721106,0.5624667872783302,0.0,0.0,5.372790981345206
