airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,cl_equiv_max,alpha_at_clmax_deg,cd_equiv_at_alpha0,cm_equiv_at_alpha0,cx_equiv_min,alpha_at_cxmin_deg,wing_cl_ref_max,wing_alpha_at_clmax_deg,wing_cd_ref_at_alpha0,wing_cm_ref_at_alpha0,wing_cx_ref_min,wing_alpha_at_cxmin_deg
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.9270856088396309,13.400000000000002,0.020377045416124215,-0.24582205787248135,-0.5937775857566316,16.0,1.9109248238673657,13.400000000000002,0.020326435999070882,-0.24521152230200394,-0.5893494720969652,16.0
s1210,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.831205532053193,10.400000000000002,0.07409054014118148,-1.3388642949627467,-2.5083546588578574,16.0,5.221571998812117,13.0,0.05039214626764239,-0.8566140599409908,-1.663571686584476,16.0
s1210,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.737888128209798,12.400000000000002,0.08922380964875948,-1.7364970910984432,-2.819127519773941,16.0,5.731896341115346,13.200000000000003,0.058848617268639575,-1.078811266423555,-1.837272263190392,16.0
s1210,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.937730405792907,12.600000000000001,0.09455583521223357,-1.925363074054796,-2.8863971186571042,16.0,5.8443039723576575,13.400000000000002,0.06182815315376797,-1.18434957770438,-1.8748823954528457,16.0
s1210,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.984579236265883,12.8,0.09579661906492684,-2.015457672102125,-2.8987182728079928,16.0,5.870728534350172,13.400000000000002,0.06252150317085024,-1.2346944390972774,-1.881774810724503,16.0
s1210,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.996066124227934,12.8,0.09537309425253711,-2.058728339310684,-2.898319724298091,16.0,5.877210591056617,13.400000000000002,0.06228483750581115,-1.2588740879361522,-1.8815546348436338,16.0
s1210,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.295337499270296,-6.0,2.773336694554296,-0.2399283042492903,-4.604340117678858,13.400000000000002,2.0247802946821176,13.600000000000001,1.6622677559207517,-0.2411881598662613,-2.9368649798541013,13.600000000000001
s1210,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,8.258679710299615,-6.0,7.2647374356644345,-0.7573183289448621,-17.081119593257952,13.0,5.396572128126736,13.600000000000001,3.190035715497913,-0.6600731339776418,-7.4918238013001535,13.600000000000001
s1210,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.875011727883635,-6.0,8.067627599300325,-0.8369163307930041,-18.47695384425243,12.8,5.821463719896405,13.600000000000001,3.4626113181469433,-0.7756396346512534,-8.002105101469336,13.600000000000001
s1210,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.976883427503832,-6.0,8.240841391859686,-0.8535289933516734,-18.772895552060206,13.0,5.906419000421332,13.600000000000001,3.5218782529375314,-0.8234248526740873,-8.118615329405765,13.600000000000001
s1210,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.99547716604771,-6.0,8.279435273103685,-0.856946498217666,-18.81836577524328,13.600000000000001,5.92522151012043,13.600000000000001,3.5350953494631203,-0.8447086182648118,-8.149015615342043,13.8
s1210,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.999081263047636,-6.0,8.283401620338026,-0.8570674525411006,-18.79223111407761,13.8,5.929640470128127,13.600000000000001,3.536330520097602,-0.854421031366241,-8.149203547236684,14.0
naca2412,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.2656704486656216,11.8,0.01734366860483794,-0.06671078850697314,-0.40862028203990475,16.0,1.26104461195002,11.8,0.01734088190438091,-0.06670006972601297,-0.4080078231698119,16.0
naca2412,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,6.546912007701618,14.400000000000002,0.056508757059703374,-0.3449904582575859,-2.1428952271959654,16.0,4.156663405707819,13.400000000000002,0.039229120032572805,-0.22221346795761,-1.3776404103892306,16.0
naca2412,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.050993916219468,14.8,0.0769575991116247,-0.48905233115458974,-2.6355445566832754,16.0,5.000578669716285,13.0,0.05065593297077674,-0.3027152425295582,-1.6529632656280242,16.0
naca2412,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.624095068829691,15.0,0.09392314501085253,-0.6194450705844684,-2.8166462932034966,16.0,5.345273949280305,12.400000000000002,0.06013628001895683,-0.37557870532056425,-1.7541927599289633,16.0
naca2412,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.848935295831092,14.8,0.1087645132820623,-0.7422347674469183,-2.8871897824538157,16.0,5.487820319229334,12.2,0.06842963660867357,-0.4441935879252729,-1.7936301856067136,16.0
naca2412,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.938894247978894,14.8,0.12195175463377807,-0.8582960163751858,-2.9140713783890053,16.0,5.546411012246609,12.0,0.07579866707584007,-0.5090486138247381,-1.8086608700623092,16.0
naca2412,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.7433172588818204,14.600000000000001,2.6333032536190797,-0.11638632517707181,-4.070774579350277,13.200000000000003,1.4937440654125758,12.600000000000001,1.5823169627981837,-0.09630845359692532,-2.5640749779365724,13.400000000000002
naca2412,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.500048199313546,14.200000000000003,13.6959081379391,-0.6084789441238249,-17.845496078669076,12.600000000000001,4.623616898054286,13.600000000000001,5.304743764491742,-0.3237059955115781,-7.490589913715571,13.400000000000002
naca2412,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.585538958868035,14.0,17.240918708376434,-0.7568071665642077,-20.687843877660104,9.4,5.325103763695637,13.400000000000002,6.497885633956791,-0.40563819177129135,-8.451022189244597,13.0
naca2412,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.878094068273393,14.200000000000003,14.17180812988758,-0.5709215028746045,-21.791662579614304,7.600000000000001,5.558241220518713,13.200000000000003,5.472666378758651,-0.3724598316002633,-8.72899187637514,12.8
naca2412,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.962466548556085,14.200000000000003,10.454171867736566,-0.4105294119420274,-22.22187206771835,7.0,5.641410657588104,13.0,4.229534635741923,-0.3461295244071809,-8.818096412432828,12.400000000000002
naca2412,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.988050048919161,14.200000000000003,9.18581218656194,-0.35340140526053976,-22.382261296180193,6.600000000000001,5.672363583743003,12.8,3.8072266140843323,-0.35291765668906694,-8.848779713008128,12.400000000000002
e423,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.4702424476477183,16.0,0.05675210787455706,-0.18352598445695112,-0.5378310566155754,16.0,1.4630113169215606,16.0,0.05670245871062662,-0.18336542810003234,-0.5351858284865705,16.0
e423,0.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,7.969360701376384,11.8,0.08695408933797742,-1.2772120234267703,-2.4633056386549965,16.0,4.97736673227553,13.200000000000003,0.0736289751159997,-0.7946777430166818,-1.6137170667992087,16.0
e423,0.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.773833752266741,12.0,0.09919710522574471,-1.6314547191282986,-2.777360190062226,16.0,5.4910601020094925,16.0,0.08047037239425772,-0.9926285613776087,-1.789250337537984,16.0
e423,0.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.945645404227193,12.2,0.10225103535994538,-1.7911094544235338,-2.8549220751450264,16.0,5.626615300844428,16.0,0.08217690855346413,-1.0818436274653744,-1.8326114122198742,16.0
e423,0.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.9861829100062,12.2,0.10191944177928057,-1.863954732438176,-2.874959147201357,16.0,5.663103391844824,16.0,0.08199161406072533,-1.1225495688236258,-1.843815535850478,16.0
e423,0.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.996352871556946,12.2,0.10043338241179194,-1.8974412877817803,-2.879604983590113,16.0,5.673470060864782,16.0,0.08116120408624017,-1.1412618559519734,-1.8464142127456225,16.0
e423,40.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.068880827066229,13.600000000000001,1.5801479069730238,-0.16677692078576506,-4.151963616348202,13.600000000000001,1.760693978204893,16.0,0.9623977222768326,-0.17252869929011874,-2.6470013227540714,13.8
e423,40.0,0.5,10.044392620822837,237930.01857335865,94751.38121546962,6.305613945077516,8.288583429591759,-6.0,5.927216486770635,-0.5947489810940534,-17.466699057914465,13.200000000000003,5.243931778647872,12.8,2.435025487396242,-0.5614277220322187,-7.476928496207151,13.400000000000002
e423,40.0,1.0,12.548062020675514,297236.5520090954,94751.38121546962,9.840866279669955,8.877519919351746,-6.0,6.510703847703353,-0.6561516294234778,-18.88669591339191,15.200000000000003,5.678344291704715,13.400000000000002,2.6333936888541247,-0.6611951293254932,-8.064025198895688,15.200000000000003
e423,40.0,1.5,14.46919512015956,342744.0556778128,94751.38121546962,13.084850464078077,8.976178211194053,-6.0,6.581732685039023,-0.6694015812856002,-17.824337104378326,15.400000000000002,5.774072063109762,15.8,2.6578908519692783,-0.7013235996277046,-7.724865224986129,15.400000000000002
e423,40.0,2.0,16.088785241645674,381108.6559312477,94751.38121546962,16.178063159487227,8.995024086153535,-6.0,6.554563354399189,-0.6726904220561597,-17.619177649324342,14.600000000000001,5.8019616516021975,16.0,2.6487074010173726,-0.7187086587066717,-7.648439104164958,14.8
e423,40.0,2.5,17.515672782857976,414908.5472735004,94751.38121546962,19.17492456475948,8.998910429392108,-6.0,6.510381658159042,-0.6735805086316089,-17.640063328692516,14.600000000000001,5.8091608694531605,16.0,2.6335619979186644,-0.7264920017856106,-7.652887524836039,14.8
