RPM	CT0	CP0
2500	0.06500	0.05000
3300	0.06667	0.04947
4100	0.06833	0.04893
4900	0.07000	0.04840
5700	0.07167	0.04787
6500	0.07333	0.04733
7300	0.07500	0.04680
8100	0.07667	0.04627
8900	0.07833	0.04573
9700	0.08000	0.04520
10500	0.08167	0.04467
11300	0.08333	0.04413
12100	0.08500	0.04360
12900	0.08667	0.04307
13700	0.08833	0.04253
14500	0.09000	0.04200
15300	0.09167	0.04147
16100	0.09334	0.04094
16900	0.09501	0.04041
17700	0.09668	0.03988
