RPM	CT0	CP0
3000	0.18500	0.15800
4000	0.18608	0.15650
5000	0.18717	0.15500
6000	0.18825	0.15350
7000	0.18933	0.15200
8000	0.19042	0.15050
9000	0.19150	0.14900
10000	0.19258	0.14750
11000	0.19367	0.14600
12000	0.19475	0.14450
13000	0.19583	0.14300
14000	0.19692	0.14150
15000	0.19800	0.14000
16000	0.19908	0.13850
17000	0.20016	0.13700
18000	0.20124	0.13550
