speed_mps,flap_deflection_deg,rpm,veff_mps,alpha_deg,cl_total,cd_total,cm_total,cambridge_clean_immersion_factor,cambridge_flap_immersion_factor
5.0,0.0,7961.5478515625,12.95645660552223,-6.0,-0.771757952325622,0.20291377592375226,-0.3703716738981776,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-5.716666666666667,-0.6559597762764239,0.18091975095013152,-0.39269531891208753,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-5.433333333333334,-0.5510936018358598,0.16052993805929044,-0.4100080197477498,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-5.15,-0.44865757962252584,0.13987601679310258,-0.4265207171173936,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-4.866666666666667,-0.31072004099263417,0.11725408310549855,-0.44081346838049085,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-4.583333333333334,-0.15476104743912678,0.09549016196875526,-0.44744454500979813,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-4.3,-0.019924059882018112,0.08205619099668746,-0.44992600732627286,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-4.016666666666667,0.11224080348464685,0.07433787559347385,-0.44979415263394734,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-3.7333333333333334,0.24414888216567504,0.06809606934665091,-0.4483439121899957,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-3.45,0.37371381702617745,0.06315894117852514,-0.44654434421802636,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-3.166666666666667,0.5026773098023524,0.05950819587880095,-0.4447014957095472,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-2.8833333333333333,0.6318997294408819,0.056530822622890844,-0.44300081303932604,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-2.6,0.761859179587935,0.053963112511554265,-0.44173661165682526,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-2.316666666666667,0.8925094615124921,0.05172430234957734,-0.44137940513949747,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-2.033333333333333,1.0224333034239406,0.04968710915068982,-0.4423751178374501,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-1.75,1.1481493723827993,0.047404913657458345,-0.4439869177498196,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-1.4666666666666668,1.2684667798820928,0.04391676014932716,-0.4421671743806477,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-1.1833333333333336,1.3895290393162913,0.03956530998802082,-0.43441242032640026,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-0.9000000000000004,1.507711503166079,0.03721037241653018,-0.4272637606371653,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-0.6166666666666671,1.6271325896992326,0.036121557477250606,-0.4231601568713733,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-0.3333333333333339,1.7496860629969921,0.03565392870828617,-0.4209729069319646,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,-0.04999999999999982,1.8707205789708201,0.03547440885169013,-0.4197638542215267,0.9999999999605955,0.9999999999605955
5.0,0.0,7961.5478515625,12.95645660552223,0.2333333333333334,1.9878449897055661,0.03541020825664687,-0.41855266571366445,0.999999999950703,0.999999999950703
5.0,0.0,7961.5478515625,12.95645660552223,0.5166666666666666,2.102144710557859,0.03542168642334369,-0.4170053535755589,0.9999999999352951,0.9999999999352951
5.0,0.0,7961.5478515625,12.95645660552223,0.7999999999999998,2.2152025410956853,0.035489138284093696,-0.415221092702853,0.9999999999150725,0.9999999999150725
5.0,0.0,7961.5478515625,12.95645660552223,1.083333333333333,2.3276854710087935,0.03559249790494453,-0.4133179673704561,0.9999999998885315,0.9999999998885315
5.0,0.0,7961.5478515625,12.95645660552223,1.3666666666666663,2.4394927771909325,0.03571800346156681,-0.4113236348886064,0.9999999998536999,0.9999999998536999
5.0,0.0,7961.5478515625,12.95645660552223,1.6499999999999995,2.550175391184209,0.03585823290047875,-0.4092031422915924,0.9999999998079903,0.9999999998079903
5.0,0.0,7961.5478515625,12.95645660552223,1.9333333333333336,2.6592091951264907,0.03600904814281512,-0.40689968589978676,0.9999999997480091,0.9999999997480091
5.0,0.0,7961.5478515625,12.95645660552223,2.216666666666667,2.766125243029557,0.03616758959949694,-0.40435926846036374,0.9999999996693056,0.9999999996693056
5.0,0.0,7961.5478515625,12.95645660552223,2.5,2.8705562559526197,0.036331868927602304,-0.4015406861498483,0.9999999995660434,0.9999999995660434
5.0,0.0,7961.5478515625,12.95645660552223,2.783333333333333,2.9722408575954793,0.03650148254349253,-0.3984171629920349,0.99999999943057,0.99999999943057
