alpha_deg,cl_clean_baseline,cl_flap_only,cl_blow_only,cl_all_high_lift,cd_clean_baseline,cd_flap_only,cd_blow_only,cd_all_high_lift,cm_clean_baseline,cm_flap_only,cm_blow_only,cm_all_high_lift,cambridge_clean_immersion_factor,cambridge_flap_immersion_factor,cambridge_clean_margin_m,cambridge_flap_margin_m,overdrop_clean_severity_scalar,overdrop_flap_severity_scalar,overdrop_clean_peak_shift_deg,overdrop_flap_peak_shift_deg
-6.0,-0.4144112477351147,0.8755879825140143,-1.3666384207580957,2.926719257804171,0.08064675910298341,2.0073280732361933,0.3514406574010954,6.86357792190541,-0.030897087574457163,-0.14824246122026857,-0.7056337630760257,-0.7395528807084262,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.716666666666667,-0.41119909905861296,0.8831420431907654,-1.1852610738052898,3.0036863233627735,0.07695680980844567,2.0289827409746692,0.31259310155785913,6.899466943884656,-0.033026294699540375,-0.15087139589940723,-0.7436105731404682,-0.7586891593886758,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.433333333333334,-0.40077533453356784,0.8926710220040175,-1.0233722924834623,3.07218768305182,0.07296216569112217,2.0500616009967416,0.2746920919457741,6.935257060696726,-0.03617780631693642,-0.15376761867857153,-0.7754987840315818,-0.7753702868515445,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.15,-0.3806102842298399,0.9048405148795968,-0.8332820327242539,3.1509409125958188,0.06857545546051243,2.070567645195136,0.2337624650680536,6.971891001213137,-0.040284477936976475,-0.15691179463861574,-0.8074169142365072,-0.7921084258699541,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.866666666666667,-0.3496351181392881,0.9199251004169464,-0.5579230030400975,3.262543665621166,0.06354331212183977,2.090455361150822,0.18976610975227995,7.01200353958077,-0.04519458429290505,-0.160261970816208,-0.8273392954049604,-0.8047187205856223,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.583333333333334,-0.3115113423604508,0.9369319857510038,-0.2961216054059277,3.3680769917109403,0.0576763123324601,2.109697961365334,0.1561170083558332,7.054450197884941,-0.05113176633800919,-0.16387688204385062,-0.8332432657538239,-0.8119788578341037,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.3,-0.27095377780024854,0.9545869510808808,-0.058416152142358534,3.463773285121537,0.051178927291264345,2.1283844055121466,0.1390485438415523,7.1007378676302615,-0.05906734212806898,-0.16801576580721933,-0.8320016205495524,-0.8162995609175328,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.016666666666667,-0.22487316938491542,0.9737091073854552,0.17771188664585114,3.558309456328428,0.04461513379130749,2.146708825929102,0.12794671397755814,7.147817972540171,-0.06881371991736154,-0.17262720755477193,-0.8285284819179758,-0.8195795035168816,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.7333333333333334,-0.1690779359616873,0.9954142187117391,0.41667540453382623,3.6530696222100874,0.03841132002827817,2.164823222762394,0.11831883594098146,7.194006405374829,-0.07722016025867476,-0.17686542759621,-0.824469619257196,-0.8226622418706169,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.45,-0.11314998403271333,1.0171265384491421,0.6562013166992259,3.747998540132948,0.03313735890040599,2.1829204119296226,0.11003463597959355,7.239316086898109,-0.08276754981843719,-0.18032214392561127,-0.8195606001172802,-0.8255640018306742,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.166666666666667,-0.06186193268782347,1.037560881178317,0.8943527115972876,3.8427477629544056,0.029889160201731324,2.201347056790752,0.10352203197529149,7.283892191550178,-0.08645318019121509,-0.18326378552997008,-0.8138126669842641,-0.8282077871114105,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.8833333333333333,-0.013236840591496291,1.0572428328739254,1.130933928057554,3.9370626873963532,0.02801000437003672,2.219929638880404,0.09826592257606413,7.32760431812849,-0.08932339390441286,-0.18596999849236315,-0.8074257185956484,-0.8305805955381045,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.6,0.034120386669497085,1.0765432203597123,1.3652985649004108,4.030560870951171,0.02652530922034907,2.2383987945725132,0.09361913436708941,7.3703029458649265,-0.09221794832294643,-0.18866511289949714,-0.8010098658470156,-0.8328378668345058,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.316666666666667,0.08143795018761128,1.0957893792556082,1.5970362347734512,4.122968640536021,0.025271934587791756,2.256723333968398,0.08940327191694597,7.4119917911657325,-0.09547825596377729,-0.1914399240376526,-0.7954299442265202,-0.8352691473024326,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.033333333333333,0.12803428867537311,1.1147979101964265,1.8241337534075537,4.213544818001879,0.024194339939622996,2.274902089543013,0.08545842425674788,7.452625122616715,-0.09903114828396553,-0.19427415036447263,-0.7916210862380064,-0.8382187914961428,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-1.75,0.17143231158600708,1.132905325307377,2.041064980375239,4.300311928910795,0.023098388577093086,2.2928911406476393,0.08112447341930248,7.491771879642141,-0.10222421700870289,-0.19699228835121493,-0.7890001648800278,-0.8415057110091322,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-1.4666666666666668,0.21006973619177552,1.1496947113080163,2.2455611784577068,4.382507462381825,0.02156663404577907,2.310578812983012,0.07507457110284226,7.528922777694221,-0.10372268016020962,-0.19923596108722294,-0.7818578907294522,-0.843125931288246,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
