flap_span_fraction,flap_chord_fraction,flap_deflection_deg,flap_end_y_m,flap_area_m2,flap_area_ratio,blown_flap_area_m2,blown_clean_area_m2,overlapping_props_count,overlapping_positive_props_count,positive_prop_overlap_fraction,positive_disk_overlap_fraction,actual_veff_mps,equivalent_reference_clmax,equivalent_vstall_mps,low_speed_lift_margin,clean_clmax_unblown,clean_clmax_blown,flapped_clmax_unblown,flapped_clmax_blown,slot_gain,prop_drop_m,prop_drop_fraction_of_chord,prop_drop_fraction_of_diameter,cambridge_clean_immersion_at_clmax,cambridge_flap_immersion_at_clmax,cambridge_clean_margin_m_at_clmax,cambridge_flap_margin_m_at_clmax,alpha_at_clmax_deg,alpha_poststall_90pct_deg,poststall_drop_5deg,overdrop_clean_severity_at_clmax,overdrop_flap_severity_at_clmax,score
0.65,0.34,40.0,0.65,0.45499999999999996,0.65,0.256032,0.12801599999999994,4,2,0.6666666666666666,0.6551472732575095,13.643,5.319551147088079,4.636665638335675,0.162862728002944,1.424398870697143,1.4276163670212592,2.1474805337268057,2.169717009680481,1.1260000000000001,0.041999999999999996,0.12,0.18372703412073488,0.999999999972045,0.9999999985713901,0.0850514846769262,0.07128297407744054,12.983333333333334,18.39441080721844,0.4559334019695873,0.0,0.0,5.302998971669009
0.6,0.34,40.0,0.6,0.42,0.6,0.231504,0.1525439999999999,4,2,0.6666666666666666,0.5822397200349956,13.643,5.27096876504241,4.657984640150062,0.15224253848762492,1.424398870697143,1.4276163670212592,2.1474805337268057,2.169717009680481,1.1260000000000001,0.041999999999999996,0.12,0.18372703412073488,0.999999999972045,0.9999999985713901,0.0850514846769262,0.07128297407744054,12.983333333333334,18.218480209745106,0.48365140959183517,0.0,0.0,5.3153179734833955
0.65,0.31,40.0,0.65,0.45499999999999996,0.65,0.256032,0.12801599999999994,4,2,0.6666666666666666,0.6551472732575095,13.643,5.285952989006187,4.6513779016143175,0.15551811476722577,1.424398870697143,1.4276163670212592,2.0939438744243146,2.111898768793589,1.11925,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999986841646,0.08412442128922444,0.07157077927204633,13.266666666666666,18.411182734147555,0.5013938583566411,0.0,0.0,5.317711234947652
0.6,0.31,40.0,0.6,0.42,0.6,0.231504,0.1525439999999999,4,2,0.6666666666666666,0.5822397200349956,13.643,5.239757089542524,4.67183715692105,0.14541961431342876,1.424398870697143,1.4276163670212592,2.0939438744243146,2.111898768793589,1.11925,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999986841646,0.08412442128922444,0.07157077927204633,13.266666666666666,18.235966393447303,0.52966181518513,0.0,0.0,5.329170490254384
0.65,0.28,40.0,0.65,0.45499999999999996,0.65,0.256032,0.12801599999999994,4,2,0.6666666666666666,0.6551472732575095,13.643,5.246606154046432,4.668786788492761,0.14691683120505372,1.424398870697143,1.4276163670212592,2.035022384174282,2.0475799012364786,1.1125,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999990700584,0.08412442128922444,0.07278564785435389,13.266666666666666,18.433434601811918,0.49325693913830637,0.0,0.0,5.335120121826094
0.6,0.28,40.0,0.6,0.42,0.6,0.231504,0.1525439999999999,4,2,0.6666666666666666,0.5822397200349956,13.643,5.203409445472584,4.688125973036171,0.13747395886789593,1.424398870697143,1.4276163670212592,2.035022384174282,2.0475799012364786,1.1125,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999990700584,0.08412442128922444,0.07278564785435389,13.266666666666666,18.257707248674635,0.5219925767514972,0.0,0.0,5.345459306369504
0.65,0.25,40.0,0.65,0.45499999999999996,0.65,0.256032,0.12801599999999994,4,2,0.6666666666666666,0.6551472732575095,13.643,5.199472583975092,4.689900480931505,0.136613354396925,1.424398870697143,1.4276163670212592,1.9694599482247117,1.9762085316154085,1.10575,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999993427815,0.08412442128922444,0.07400051643666145,13.266666666666666,18.464832795248867,0.48274437904043843,0.0,0.0,5.356233814264838
0.6,0.25,40.0,0.6,0.42,0.6,0.231504,0.1525439999999999,4,2,0.6666666666666666,0.5822397200349956,13.643,5.1599223557483205,4.707839952082944,0.12796760872830815,1.424398870697143,1.4276163670212592,1.9694599482247117,1.9762085316154085,1.10575,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999993427815,0.08412442128922444,0.07400051643666145,13.266666666666666,18.287764321462923,0.5121340840851687,0.0,0.0,5.365173285416278
0.65,0.22,40.0,0.65,0.45499999999999996,0.65,0.256032,0.12801599999999994,4,2,0.6666666666666666,0.6551472732575095,13.643,5.142648030650076,4.715740218509773,0.12419141253191457,1.424398870697143,1.4276163670212592,1.8959260573255452,1.8960186815652662,1.0990000000000002,0.041999999999999996,0.12,0.18372703412073488,0.9999999999525329,0.9999999993948492,0.08319843816934415,0.07428940189908871,13.55,18.50708972766251,0.5224302110279142,0.0,0.0,5.382073551843106
0.6,0.22,40.0,0.6,0.42,0.6,0.231504,0.1525439999999999,4,2,0.6666666666666666,0.5822397200349956,13.643,5.107111106805553,4.732118595975754,0.11642298187601319,1.424398870697143,1.4276163670212592,1.8959260573255452,1.8960186815652662,1.0990000000000002,0.041999999999999996,0.12,0.18372703412073488,0.9999999999525329,0.9999999993948492,0.08319843816934415,0.07428940189908871,13.55,18.329741234911996,0.5518992235447122,0.0,0.0,5.389451929309088
0.55,0.34,40.0,0.55,0.385,0.55,0.19650400000000004,0.18754399999999988,4,2,0.6666666666666666,0.5093321668124818,13.643,5.217225004922516,4.681914623314207,0.14049406314109758,1.424398870697143,1.4276163670212592,2.1474805337268057,2.169717009680481,1.1260000000000001,0.041999999999999996,0.12,0.18372703412073488,0.999999999972045,0.9999999985713901,0.0850514846769262,0.07128297407744054,12.983333333333334,17.988538034482968,0.5207260224007353,0.0,0.0,5.492919289397614
0.55,0.31,40.0,0.55,0.385,0.55,0.19650400000000004,0.18754399999999988,4,2,0.6666666666666666,0.5093321668124818,13.643,5.188650296662241,4.694788940279885,0.13424758439117146,1.424398870697143,1.4276163670212592,2.0939438744243146,2.111898768793589,1.11925,0.041999999999999996,0.12,0.18372703412073488,0.9999999999635671,0.9999999986841646,0.08412442128922444,0.07157077927204633,13.266666666666666,18.004790509015503,0.568430298843027,0.0,0.0,5.505793606363291
