n_props,prop_diameter_in,prop_pitch_ratio,prop_family,solved_low_speed_rpm,solved_cruise_rpm,prop_centers_m,blown_span_fraction,packing_margin_m,fuselage_margin_m,inter_prop_margin_m,tip_margin_m,per_prop_low_speed_thrust_n,per_prop_cruise_thrust_n,per_prop_low_speed_power_w,per_prop_cruise_power_w,per_prop_low_speed_torque_nm,per_prop_cruise_torque_nm
6,8.0,0.4,cruise,6253.4,6064.5,-0.8603;-0.5436;-0.2270;0.2270;0.5436;0.8603,0.48768000000000006,6.938893903907228e-18,6.938893903907228e-18,0.08804999999999993,2.7755575615628914e-17,1.819311383038811,1.1702562304334179,19.0317385222701,14.382992167195484,0.02906254448573637,0.02264777937038015
8,7.0,0.4,cruise,7234.9,6974.6,-0.8730;-0.6534;-0.4339;-0.2143;0.2143;0.4339;0.6534;0.8730,0.5689599999999999,6.938893903907228e-18,6.938893903907228e-18,0.01636666666666662,2.7755575615628914e-17,1.3790321583017506,0.8781218429690927,14.590051884981182,10.828716867172005,0.01925731283745716,0.014826173401367887
6,7.5,0.4,cruise,7098.1,6783.2,-0.8666;-0.5436;-0.2207;0.2207;0.5436;0.8666,0.4572000000000001,6.938893903907228e-18,6.938893903907228e-18,0.10709999999999983,2.7755575615628914e-17,1.8257772853358036,1.1702625295522266,20.23010193088143,14.767600476098792,0.027216190712044144,0.02078962684317741
6,7.0,0.4,cruise,8138.2,7658.2,-0.8730;-0.5436;-0.2143;0.2143;0.5436;0.8730,0.42671999999999993,6.938893903907228e-18,6.938893903907228e-18,0.12615,2.7755575615628914e-17,1.8367643113936596,1.1707537468660318,21.67868411428468,15.251203928919042,0.025437588679433933,0.019017297746650653
10,5.5,0.4,balanced,10062.0,9919.9,-0.8921;-0.7178;-0.5436;-0.3695;-0.1953;0.1953;0.3695;0.5436;0.7178;0.8921,0.5588000000000002,6.938893903907228e-18,6.938893903907228e-18,0.009099999999999976,2.7755575615628914e-17,1.1619713911778167,0.7023271626860041,13.16528569810487,10.037620476987131,0.012494456148303069,0.00966261907353661
8,5.5,0.4,cruise,11795.4,10673.8,-0.8921;-0.6598;-0.4275;-0.1953;0.1953;0.4275;0.6598;0.8921,0.44704000000000016,6.938893903907228e-18,6.938893903907228e-18,0.06716666666666668,2.7755575615628914e-17,1.4431979115718854,0.8777994873639889,19.25081609417203,12.150088810426505,0.015585037590622576,0.010870055799349276
4,7.0,0.5,cruise,9319.8,8564.5,-0.8730;-0.2143;0.2143;0.8730,0.28447999999999996,6.938893903907228e-18,6.938893903907228e-18,0.45550000000000007,2.7755575615628914e-17,2.754024623682847,1.7552170059922494,40.832062300385616,27.26286131320904,0.04183753654633746,0.030397705464365835
4,6.0,0.9,cruise,11644.0,10533.2,-0.8857;-0.2016;0.2016;0.8857,0.24384000000000003,6.938893903907228e-18,6.938893903907228e-18,0.5062999999999999,2.7755575615628914e-17,2.796342311554146,1.7556100549296718,57.64390049357947,36.9184907157557,0.047274021140418336,0.033469944303182876
