alpha_deg,cl_clean_baseline,cl_flap_only,cl_blow_only,cl_all_high_lift,cd_clean_baseline,cd_flap_only,cd_blow_only,cd_all_high_lift,cm_clean_baseline,cm_flap_only,cm_blow_only,cm_all_high_lift,cambridge_clean_immersion_factor,cambridge_flap_immersion_factor,cambridge_clean_margin_m,cambridge_flap_margin_m,overdrop_clean_severity_scalar,overdrop_flap_severity_scalar,overdrop_clean_peak_shift_deg,overdrop_flap_peak_shift_deg
-6.0,-0.4144112477351149,0.8755879825140145,-1.4523343137263285,2.9085289973315724,0.08064675910298337,2.0073280732361947,0.36802213847179105,6.9083777956725,-0.030897087574457242,-0.14824246122026877,-0.7509411163121127,-0.7603344846355728,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.716666666666667,-0.41119909905861296,0.8831420431907656,-1.267171211057529,2.98673060140875,0.07695680980844556,2.0289827409746692,0.32677947855315803,6.941742960914495,-0.033026294699540465,-0.1508713958994073,-0.7910728685536565,-0.7803140759125669,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.433333333333334,-0.4007753345335679,0.892671022004017,-1.0992670424181772,3.057361442947871,0.07296216569112207,2.050061600996741,0.28578075224780247,6.9745167293647015,-0.03617780631693648,-0.15376761867857155,-0.8262253083133748,-0.7981930772602381,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-5.15,-0.38061028422983967,0.9048405148795972,-0.8874418663854134,3.1445348674916755,0.06857545546051233,2.070567645195136,0.24094610338762004,7.008779247628652,-0.04028447793697656,-0.15691179463861582,-0.8607080613371766,-0.8159180015227872,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.866666666666667,-0.3496351181392892,0.9199251004169462,-0.5913946127204464,3.2642128463256412,0.06354331212183968,2.090455361150823,0.19411112561882166,7.0469276167899615,-0.04519458429290483,-0.160261970816208,-0.8801675878544571,-0.8283513144152288,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.583333333333334,-0.31151134236045225,0.9369319857510033,-0.3199126975592721,3.373432759369141,0.05767631233245998,2.109697961365334,0.16115558960992493,7.088430897077627,-0.05113176633800894,-0.16387688204385067,-0.8855320898592371,-0.8353368461769357,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.3,-0.2709537778002492,0.9545869510808812,-0.067441946493,3.474825472527241,0.05117892729126423,2.1283844055121452,0.14473318751608555,7.13432938823794,-0.05906734212806878,-0.16801576580721936,-0.8836624624261821,-0.8393646089005597,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-4.016666666666667,-0.22487316938491647,0.9737091073854544,0.18439226695202918,3.5754336039739396,0.04461513379130741,2.1467088259291023,0.1334461149591228,7.180939750066058,-0.06881371991736142,-0.1726272075547719,-0.8798627739300698,-0.8424672868505207,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.7333333333333334,-0.16907793596168713,0.9954142187117389,0.43933947309645827,3.676378764956424,0.03841132002827807,2.164823222762394,0.12353865824298703,7.22677498684315,-0.0772201602586749,-0.17686542759621005,-0.8754773769865359,-0.8453784658830765,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.45,-0.11314998403271465,1.0171265384491412,0.6947843435976739,3.777470772504059,0.033137358900405936,2.1829204119296226,0.11500723137031651,7.271846975642873,-0.08276754981843693,-0.180322143925611,-0.8700672944864273,-0.8480475346118668,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-3.166666666666667,-0.06186193268782433,1.0375608811783168,0.9484236715388524,3.8782155184495517,0.02988916020173131,2.201347056790756,0.10825330355536875,7.316252250057325,-0.08645318019121481,-0.18326378552997002,-0.863600402470938,-0.8503781787050368,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.8833333333333333,-0.01323684059149817,1.0572428328739256,1.1997690815662363,3.978241273879153,0.028010004370036746,2.2199296388804055,0.10274591059895125,7.35982788887351,-0.08932339390441262,-0.1859699984923632,-0.8562954166775334,-0.8523623515167982,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.6,0.03412038666949667,1.0765432203597127,1.447970702657341,4.0770839453206715,0.02652530922034907,2.2383987945725132,0.09784166920943191,7.402408433550639,-0.09221794832294636,-0.18866511289949708,-0.8487819899576408,-0.8541623630753847,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.316666666666667,0.08143795018761028,1.0957893792556082,1.6924916617057402,4.174419113585908,0.025271934587791735,2.256723333968395,0.09336908891366415,7.443989323530463,-0.09547825596377711,-0.19143992403765256,-0.841946467437253,-0.8560766632925497,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-2.033333333333333,0.12803428867537187,1.1147979101964258,1.9312206863940224,4.269465627069,0.02419433993962296,2.2749020895430108,0.08916786399549709,7.4845186005927875,-0.0990311482839654,-0.19427415036447251,-0.8367921144390598,-0.858476579951335,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-1.75,0.17143231158600658,1.132905325307377,2.158489754463032,4.3601866283013715,0.023098388577093096,2.2928911406476424,0.0845700734757142,7.523557011824038,-0.1022242170087026,-0.1969922883512148,-0.8328701753822451,-0.8612306741848117,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-1.4666666666666668,0.2100697361917744,1.1496947113080158,2.3719760696376277,4.445797094232595,0.02156663404577906,2.310578812983012,0.07825113015352703,7.560588234721514,-0.10372268016020937,-0.19923596108722288,-0.82454136340373,-0.862352114329928,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-1.1833333333333336,0.2470807174568426,1.1660096068236527,2.5818607458896885,4.530072856641867,0.019656085971712867,2.3279921236112453,0.06997115215958849,7.596235498699377,-0.1036270282883785,-0.20103165713414498,-0.8049865469136824,-0.859352452983765,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-0.9000000000000004,0.2863398414977596,1.182893418982508,2.7799410266604565,4.609407327659893,0.018729148378106623,2.3455426241118467,0.06437753885408225,7.6315093990452825,-0.10407538416446763,-0.20295222022865128,-0.7839325330343806,-0.8556339582350974,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-0.6166666666666671,0.3277846530209285,1.2003354132115782,2.9654076445343485,4.683488223707116,0.01858854121408097,2.363179078600207,0.0613069913545849,7.666294925565064,-0.1056846740267457,-0.20516272360308926,-0.7672291359748922,-0.8533033201472253,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-0.3333333333333339,0.3682629615603127,1.2174978927478421,3.1482922386646086,4.756590882851503,0.018735417319838733,2.3807596798718884,0.05944278772454503,7.701110625793411,-0.10761440235812773,-0.20743756359183302,-0.7531452349416172,-0.851825888509961,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
-0.04999999999999982,0.4070523135766159,1.2341959800411249,3.324911581398434,4.8273181242945595,0.019042647415801913,2.3982513054321584,0.058312796271280574,7.735583872172729,-0.10933277495284681,-0.20963395210859925,-0.7408809745702388,-0.850933594329273,0.9999999999605955,0.9999999979862813,0.08385,0.07008148940051433,0.0,0.0,0.0,0.0
0.2333333333333334,0.44464593232539357,1.2505721290486145,3.489886585388611,4.893492824202618,0.01942557840164305,2.4156322624845403,0.05746794728138319,7.769041399341229,-0.11071369167165793,-0.21171791462338263,-0.7293054854607242,-0.850195348783833,0.999999999950703,0.9999999974807369,0.0830660584445594,0.06929754784507373,0.0,0.0,0.0,0.0
0.5166666666666666,0.4812368597827895,1.2666897119454932,3.6429949965834747,4.955017435089564,0.01980809011533449,2.432882359830264,0.056761145237027584,7.801333827007592,-0.11173058909117625,-0.21368220302685886,-0.7173173820760995,-0.8492040400888228,0.9999999999352951,0.9999999966933326,0.08211414814041126,0.06834563754092558,0.0,0.0,0.0,0.0
0.7999999999999998,0.5169617522956543,1.2825983510220302,3.7865284188457813,5.012799468872055,0.020152300717828777,2.449991773508886,0.056147880495419064,7.832602579010943,-0.11241289899415682,-0.21553461530129492,-0.7047494735736897,-0.847902587660395,0.9999999999150725,0.9999999956598753,0.08116228028471453,0.06739376968522885,0.0,0.0,0.0,0.0
1.083333333333333,0.5520115977038417,1.2983635509892528,3.922143431366737,5.067489292430569,0.020447160008667933,2.466957725844364,0.05559264376318121,7.8629474222462115,-0.11281892705735981,-0.21729071687742774,-0.6918024237523868,-0.8463641031342042,0.9999999998885315,0.9999999943035309,0.0802104781544074,0.06644196755492172,0.0,0.0,0.0,0.0
1.3666666666666663,0.5865713054688417,1.3140504282713414,4.050418883493043,5.119309915927559,0.02069382978251533,2.4837802065301013,0.05507033527533956,7.892356461816363,-0.11300868295462962,-0.21896654822529865,-0.6786522817029165,-0.8446472596624105,0.9999999998536999,0.9999999925235015,0.07925876502482082,0.06549025442533514,0.0,0.0,0.0,0.0
1.6499999999999995,0.6207701020985537,1.3297103101578776,4.1713540702723915,5.1682597320834365,0.020898196259714685,2.5004598074644715,0.05456939784871868,7.920739620052666,-0.11303059919213113,-0.22057505512693068,-0.6653808367626193,-0.8427735107905858,0.9999999998079903,0.9999999901875644,0.07830716416910928,0.06453865356962361,0.0,0.0,0.0,0.0
1.9333333333333336,0.6546734693496429,1.3453784407135585,4.284800088834892,5.214284723120443,0.02106732700374219,2.5169967276383876,0.054087419338113646,7.947966381060719,-0.11291851049255175,-0.22212526884523004,-0.6520099722102491,-0.8407416844061011,0.9999999997480091,0.999999987122292,0.07735569885768177,0.0635871882581961,0.0,0.0,0.0,0.0
2.216666666666667,0.6883011150753,1.3610786313713332,4.390680894948191,5.257364581745236,0.021207233369452922,2.5333901611359315,0.0536267666295676,7.973889940546134,-0.11269348096735393,-0.22362278501206528,-0.6385400002265815,-0.8385429042815131,0.9999999996693056,0.9999999831002369,0.07640439235763268,0.06263588175814701,0.0,0.0,0.0,0.0
2.5,0.7216534459979884,1.376830152967995,4.489070981572436,5.297540999084335,0.021321116489908004,2.5496378193207665,0.05319256898671384,7.998360680167757,-0.11236731380034823,-0.225070692641836,-0.6249716986056469,-0.836168861478394,0.9999999995660434,0.9999999778231392,0.07545326793217282,0.06168475733268715,0.0,0.0,0.0,0.0
