mode,sweep_type,velocity_mps,alpha_deg,cl,cl_required,cm,tail_cl,wing_profile_drag_n,wing_induced_drag_n,htail_drag_n,vtail_drag_n,fuselage_drag_n,total_drag_n,power_w,rpm,thrust_required_n,thrust_available_n,rpm_feasible,trim_feasible,added_drag_required_n,blown_effective_velocity_mps
clean,velocity,10.5,5.226487116104346,1.0373085288537183,1.0373085288537183,-0.10034355487025065,-0.22303455876462336,0.5308312306656114,4.2986837234733315,0.15247807695546384,0.044246870262192727,0.742809375,5.769049276356599,105.46427246093751,6812.451171875,5.769049276356599,5.768337895431448,1.0,1.0,0.0,nan
clean,velocity,10.75,4.762805264748138,0.9896226310967869,0.9896226310967869,-0.10138219886327882,-0.225343162491072,0.5386101157719702,4.101069815147084,0.16098648388290998,0.04637894734398773,0.77860234375,5.625647705895952,103.92179199218751,6774.365234375,5.625647705895952,5.62587776180214,1.0,1.0,0.0,nan
clean,velocity,11.0,4.336185499417687,0.9451509529431605,0.9451509529431605,-0.10228580763741041,-0.2273516221723627,0.5502781179194505,3.916775872007726,0.16962915820971408,0.04856119094535438,0.8152375000000001,5.500481839082245,102.6878076171875,6743.896484375,5.500481839082245,5.4998298635136,1.0,1.0,0.0,nan
clean,velocity,11.25,3.9427166797114226,0.9036109851347945,0.9036109851347945,-0.10302252436180061,-0.22898912933235274,0.5647359286750505,3.744631154670102,0.1783451861668814,0.050793601066292667,0.85271484375,5.391220714328327,101.7623193359375,6721.044921875,5.391220714328327,5.38990738022409,1.0,1.0,0.0,nan
clean,velocity,11.5,3.5796721660022923,0.8647505883260675,0.8647505883260675,-0.10358233479422647,-0.230233425221106,0.5812361479275324,3.5835907789257835,0.18709321809540705,0.05307617770680262,0.891034375,5.296030697655526,101.1453271484375,6705.810546875,5.296030697655526,5.295836305393259,1.0,1.0,0.0,nan
clean,velocity,11.75,3.244150077053194,0.8283441579438474,0.8283441579438474,-0.10398076696787266,-0.2311190241433458,0.5990217575798492,3.4327198226378255,0.1958636538470343,0.055408920866884204,0.93019609375,5.213210248681594,100.68258300781251,6694.384765625,5.213210248681594,5.209720282231848,1.0,1.0,0.0,nan
clean,velocity,12.0,2.933162960050622,0.7941893424036282,0.7941893424036282,-0.10424708263735288,-0.23171096647498268,0.6175882130610169,3.291179725784271,0.20466987891487753,0.05779183054653744,0.9702,5.141429648306703,100.5283349609375,6690.576171875,5.141429648306703,5.139033484026749,1.0,1.0,0.0,nan
clean,velocity,12.25,2.643843242881565,0.7621042252802828,0.7621042252802828,-0.10441266659783695,-0.23207901149404558,0.6367096702082365,3.1582166131640808,0.2135352546443765,0.060224906745762335,1.01104609375,5.079732538512457,100.5283349609375,6690.576171875,5.079732538512457,5.0759832502777344,1.0,1.0,0.0,nan
clean,velocity,12.5,2.3736075170311604,0.7319248979591836,0.7319248979591836,-0.10450507839330221,-0.2322844160569285,0.6563297065652081,3.0331512352827827,0.2224845758460455,0.06270814946455885,1.052734375,5.027408042158595,100.83683105468751,6698.193359375,5.027408042158595,5.0279910768590605,1.0,1.0,0.0,nan
clean,velocity,12.75,2.120236999314418,0.7035033621291653,0.7035033621291653,-0.1045464831384548,-0.23237644677158487,0.6764538739319771,2.9153702761272426,0.23154042901142013,0.06524155870292704,1.09526484375,4.983870981523567,101.2995751953125,6709.619140625,4.983870981523567,4.987362803129293,1.0,1.0,0.0,nan
clean,velocity,13.0,1.8819343194864826,0.6767057118705471,0.6767057118705471,-0.1045531640021257,-0.23239129638980832,0.6970927069058758,2.804318819603165,0.24072078700417077,0.06782513446086687,1.1386375,4.948594947974079,101.7623193359375,6721.044921875,4.948594947974079,4.9465372711381805,1.0,1.0,0.0,nan
clean,velocity,13.25,1.6569125869060861,0.6514105535414593,0.6514105535414593,-0.10453030571290013,-0.23234048905636143,0.7183602684053277,2.6994938014264713,0.2500280660540711,0.07045887673837832,1.18285234375,4.921193356374248,102.5335595703125,6740.087890625,4.921193356374248,4.9204040800850795,1.0,1.0,0.0,nan
clean,velocity,13.5,1.4435083322449245,0.6275076285658295,0.6275076285658295,-0.10450246025458994,-0.23227859669550333,0.7402307986662736,2.600438301854238,0.2595012268270828,0.07314278553546145,1.227909375,4.9012224878830555,103.4590478515625,6762.939453125,4.9012224878830555,4.901390207455273,1.0,1.0,0.0,nan
clean,velocity,13.75,1.2410013074305588,0.6048966098836228,0.6048966098836228,-0.10447324156143883,-0.232213652032709,0.762663720051938,2.506736558084945,0.2691460164254396,0.07587686085211622,1.27380859375,4.888231749164439,104.53878417968751,6789.599609375,4.888231749164439,4.889431182220451,1.0,1.0,0.0,nan
clean,velocity,14.0,1.0470147949006645,0.5834860474802166,0.5834860474802166,-0.10445644761584567,-0.23217632397262453,0.7859084692572265,2.41800959445375,0.2789891392720923,0.07866110268834263,1.3205500000000001,4.882118305671411,105.7727685546875,6820.068359375,4.882118305671411,4.884471117390496,1.0,1.0,0.0,nan
clean,velocity,14.25,0.8617562166718761,0.5631924422585285,0.5631924422585285,-0.1044527726559206,-0.23216815560479634,0.8098311303465703,2.333911384489676,0.2890345245108419,0.08149551104414068,1.3681335937499999,4.882406144141229,107.00675292968751,6850.537109375,4.882406144141229,4.879092988372601,1.0,1.0,0.0,nan
clean,velocity,14.5,0.6839923960565201,0.5439394307068843,0.5439394307068843,-0.10446691741523018,-0.23219959529372827,0.8345635268990942,2.254125472118596,0.29929484249809246,0.0843800859195104,1.416559375,4.888923302435293,108.54923339843751,6888.623046875,4.888923302435293,4.888010608978731,1.0,1.0,0.0,nan
clean,velocity,14.75,0.5130228107158479,0.5256570654691063,0.5256570654691063,-0.10450088659053355,-0.23227509889767356,0.8603751648146135,2.1783619902921454,0.3097783828875014,0.08731482731445175,1.46582734375,4.901657709058712,110.2459619140625,6930.517578125,4.901657709058712,4.903809511170813,1.0,1.0,0.0,nan
clean,velocity,15.0,0.3491752658257342,0.5082811791383219,0.5082811791383219,-0.10454600874097258,-0.23237539232386015,0.8870476336876054,2.1063550245019327,0.320470111759266,0.09029973522896474,1.5159375,4.920110005177769,111.9426904296875,6972.412109375,4.920110005177769,4.919130786312539,1.0,1.0,0.0,nan
clean,velocity,15.25,0.1923298591114442,0.491752820450943,0.491752820450943,-0.10459400929765164,-0.23248208361054232,0.9152280479022019,2.0378602763254388,0.33135342509148746,0.0933348096630494,1.56688984375,4.944666402732177,113.79366699218751,7018.115234375,4.944666402732177,4.941311934777343,1.0,1.0,0.0,nan
clean,velocity,15.5,0.042550045576038274,0.47601775361549403,0.47601775361549403,-0.10464207875864528,-0.23258892805148956,0.9443856287083465,1.972652988607429,0.3424223982094795,0.09642005061670571,1.6186843750000002,4.974565441141961,115.95313964843751,7071.435546875,4.974565441141961,4.977668237129405,1.0,1.0,0.0,nan
clean,velocity,15.75,-0.09853596621561878,0.4610260128238748,0.4610260128238748,-0.10467495787958037,-0.23266200878138604,0.9748669390074675,1.910526099321481,0.3536392295569491,0.09955545808993366,1.67132109375,5.0099088197258315,118.1126123046875,7124.755859375,5.0099088197258315,5.013541228569677,1.0,1.0,0.0,nan
clean,velocity,16.0,-0.23181185777694768,0.44673150510204074,0.44673150510204074,-0.10469633976145272,-0.23270953449038773,1.00651245449549,1.8512885957536516,0.3650099300346635,0.10274103208273323,1.7248,5.050352012366538,120.2720849609375,7178.076171875,5.050352012366538,5.0489416795141775,1.0,1.0,0.0,nan
